Is_Sale,Source,Reference,Town,PropertyType,Latitude,Longitude,TotalRooms,TotalBedrooms,TotalBathrooms,TotalSqm,TotalIntArea,TotalExtArea,Price,Province
True,Remax,240091099-86,Kalkara,Penthouse Duplex,35.89132,14.53029,6.0,2.0,3.0,125.0,82.0,43.0,750000,South Eastern
True,Remax,240221001-322,St Julian's,Penthouse,35.91986,14.48087,3.0,1.0,1.0,63.0,45.0,18.0,330000,Central
True,Remax,240291030-117,Qawra,Penthouse,35.95441,14.41972,4.0,1.0,1.0,95.0,70.0,24.0,278500,Northern
True,Remax,240291030-116,Qawra,Penthouse,35.95441,14.41972,4.0,1.0,1.0,90.0,67.0,23.0,278500,Northern
True,Remax,240291030-7,Birkirkara,Garage (Residential),35.89574,14.45658,1.0,0.0,0.0,154.0,0.0,0.0,490000,Central
True,Remax,240471004-39,Rabat,Maisonette Duplex,35.88588,14.35485,7.0,2.0,2.0,162.0,150.0,12.0,300000,Northern
True,Remax,240271007-686,Ghaxaq,Apartment,35.84683,14.50594,6.0,2.0,2.0,103.0,90.0,13.0,230000,Southern
True,Remax,240081068-3582,Ghaxaq,Apartment,35.84683,14.50594,5.0,2.0,2.0,124.0,115.0,9.0,230000,Southern
True,Remax,240081068-3581,Ghaxaq,Apartment,35.84683,14.50594,6.0,2.0,2.0,109.0,99.0,10.0,230000,Southern
True,Remax,240081068-3580,Ghaxaq,Apartment,35.84683,14.50594,6.0,3.0,2.0,124.0,115.0,9.0,230000,Southern
True,Remax,240081068-3579,Ghaxaq,Maisonette,35.84683,14.50594,8.0,3.0,2.0,180.0,149.0,31.0,383000,Southern
True,Remax,240171002-335,Mellieha,Penthouse,35.96342,14.33521,6.0,3.0,2.0,146.0,125.0,21.0,360000,Northern
True,Remax,240151012-2073,Qormi,Terraced House,35.87667,14.45933,8.0,3.0,2.0,340.0,162.0,151.0,1000000,Southern
True,Remax,240091099-178,Sliema,Maisonette,35.91223,14.49969,7.0,3.0,2.0,135.0,110.0,25.0,350000,Central
True,Remax,240041061-131,Pieta,Apartment,35.89257,14.48986,5.0,2.0,1.0,100.0,93.0,8.0,350000,Central
True,Remax,240161041-52,Pieta,Apartment,35.89257,14.48986,5.0,2.0,1.0,100.0,93.0,8.0,350000,Central
True,Remax,240471004-168,Pieta,Apartment,35.89257,14.48986,5.0,2.0,1.0,95.0,90.0,5.0,350000,Central
True,Remax,240291001-1601,Qormi,Apartment,35.87667,14.45933,6.0,3.0,2.0,150.0,131.0,19.0,225500,Southern
True,Remax,240291001-1600,Qormi,Apartment,35.87667,14.45933,6.0,3.0,2.0,145.0,126.0,19.0,235500,Southern
True,Remax,240291001-1598,Qormi,Apartment,35.87667,14.45933,6.0,3.0,2.0,145.0,126.0,19.0,230500,Southern
True,Remax,240251097-687,Swieqi,Maisonette Duplex,35.92315,14.46222,8.0,3.0,2.0,130.0,0.0,18.0,460000,Northern
True,Remax,240471004-112,St Julian's,Villa Detached,35.91986,14.48087,10.0,3.0,2.0,300.0,250.0,185.0,1065000,Central
True,Remax,240291010-730,St Paul's Bay,Apartment,35.93579,14.38177,5.0,2.0,2.0,103.0,94.0,9.0,200000,Northern
True,Remax,240171015-343,Birkirkara,Apartment,35.89574,14.45658,4.0,2.0,1.0,92.0,82.0,10.0,305000,Central
True,Remax,240021106-111,St Paul's Bay,Maisonette,35.93579,14.38177,4.0,2.0,1.0,92.0,0.0,0.0,499000,Northern
True,Remax,240041063-119,Madliena,Apartment,35.92313,14.47163,7.0,2.0,2.0,172.0,132.0,40.0,1100000,Northern
True,Remax,240171006-1449,Bugibba,Apartment,35.95205,14.40935,6.0,3.0,2.0,123.0,110.0,13.0,190000,Northern
True,Remax,240461002-58,Cospicua,Townhouse,35.88106,14.51644,9.0,3.0,4.0,261.0,180.0,60.0,485000,South Eastern
True,Remax,240041063-123,San Gwann,Penthouse,35.90863,14.47988,6.0,2.0,2.0,131.0,100.0,31.0,550000,Central
True,Remax,240471004-188,Sliema,Apartment,35.91223,14.49969,6.0,3.0,2.0,119.0,103.0,16.0,467500,Central
True,Remax,240191037-205,Sliema,Apartment,35.91223,14.49969,5.0,3.0,1.0,190.0,136.0,54.0,616000,Central
True,Remax,240031035-411,Gozo - San Lawrenz,Apartment,36.04797,14.18916,7.0,2.0,3.0,193.0,140.0,53.0,795000,Gozo
True,Remax,240171020-90,St Julian's,Apartment,35.91986,14.48087,4.0,2.0,1.0,105.0,83.0,22.0,590000,Central
True,Remax,240331007-55,Attard,Bungalow Detached,35.89158,14.4248,9.0,5.0,2.0,650.0,490.0,377.0,1400000,Central
True,Remax,240291005-237,Rabat,Penthouse,35.88588,14.35485,6.0,2.0,1.0,116.0,90.0,26.0,395000,Northern
True,Remax,240291005-238,Rabat,Apartment,35.88588,14.35485,7.0,3.0,2.0,121.0,109.0,12.0,290000,Northern
True,Remax,240061135-181,Marsascala,Villa Semi-detached,35.85982,14.55497,17.0,6.0,6.0,792.0,450.0,400.0,1800000,South Eastern
True,Remax,240231001-351,Pieta,Apartment,35.89257,14.48986,7.0,3.0,2.0,142.0,132.0,10.0,265000,Central
True,Remax,240191026-15,Swieqi,Maisonette Duplex,35.92315,14.46222,10.0,3.0,4.0,162.0,0.0,36.0,595000,Northern
True,Remax,240171009-1098,Hamrun,Apartment,35.88683,14.48569,5.0,1.0,2.0,70.0,62.0,8.0,150000,Southern
True,Remax,240171009-1096,Hamrun,Apartment,35.88683,14.48569,5.0,1.0,1.0,70.0,62.0,8.0,170000,Southern
True,Remax,240461027-248,Santa Venera,Apartment,35.88952,14.47322,6.0,3.0,2.0,115.0,0.0,0.0,309000,Central
True,Remax,240061141-136,Qormi,House of Character,35.87667,14.45933,10.0,6.0,1.0,197.0,165.0,32.0,375000,Southern
True,Remax,240061136-55,Zabbar,Penthouse,35.87442,14.537,7.0,3.0,2.0,137.0,108.0,29.0,290000,South Eastern
True,Remax,240061136-56,Zabbar,Apartment,35.87442,14.537,8.0,3.0,2.0,150.0,132.0,18.0,245000,South Eastern
True,Remax,240171009-1094,Hamrun,Apartment,35.88683,14.48569,4.0,1.0,1.0,70.0,62.0,8.0,170000,Southern
True,Remax,240351001-47139,St Julian's,Apartment,35.91986,14.48087,5.0,2.0,2.0,92.0,0.0,0.0,250000,Central
True,Remax,240351001-47138,St Julian's,Apartment,35.91986,14.48087,5.0,2.0,2.0,92.0,0.0,0.0,250000,Central
True,Remax,240351001-47137,St Julian's,Apartment,35.91986,14.48087,5.0,2.0,2.0,92.0,0.0,0.0,250000,Central
True,Remax,240351001-47135,St Julian's,Apartment,35.91986,14.48087,4.0,2.0,1.0,71.0,0.0,0.0,200000,Central
True,Remax,240351001-47134,St Julian's,Apartment,35.91986,14.48087,4.0,2.0,1.0,71.0,0.0,0.0,200000,Central
