PropertyType,Town,TotalBedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return
Flats,St Paul's Bay,2.0,6,3,,,,,,,179000,495000,346500.0,179000,235000,213000.0,86625.0,4974.69,414.56,10650.0,10650.0,21300.0,2039825.31,169985.44,23.55
Townhouse,Hamrun,2.0,12,2,1.0,2.0,108.0,0.0,6.0,0.0,185000,380000,259875.0,2500,297000,149750.0,64968.75,3731.02,310.92,7487.5,7487.5,14975.0,1433868.98,119489.08,22.07
Penthouse,Paola,2.0,8,3,2.0,1.0,61.5,0.0,21.0,0.0,180000,329000,215312.5,900,190000,123633.33,53828.12,3091.23,257.6,6181.67,6181.67,12363.33,1183788.73,98649.06,21.99
Penthouse,Zabbar,1.0,8,2,1.0,1.0,57.0,0.0,42.0,0.0,190000,271000,237875.0,950,250000,125475.0,59468.75,3415.16,284.6,6273.75,6273.75,12547.5,1201144.84,100095.4,20.2
Maisonette,Qrendi,3.0,9,2,2.0,2.0,115.0,0.0,18.0,0.0,245000,425000,325444.44,850,330000,165425.0,81361.11,4672.4,389.37,8271.25,8271.25,16542.5,1583407.6,131950.63,19.46
House of Character,Tarxien,2.0,2,2,1.0,3.0,60.0,0.0,10.0,0.0,213000,215000,214000.0,900,215000,107950.0,53500.0,3072.39,256.03,5397.5,5397.5,10795.0,1033247.61,86103.97,19.31
Townhouse,Birzebbuga,4.0,2,2,2.0,5.0,165.0,176.0,8.0,83.0,320000,320000,320000.0,2000,320000,161000.0,80000.0,4594.23,382.85,8050.0,8050.0,16100.0,1541005.77,128417.15,19.26
Penthouse,Ghaxaq,2.0,12,4,2.0,2.0,100.0,0.0,30.0,0.0,265000,310000,297500.0,950,295000,148037.5,74375.0,4271.2,355.93,7401.88,7401.88,14803.75,1416888.8,118074.07,19.05
Maisonette,Marsaxlokk,3.0,16,12,2.0,2.0,124.0,0.0,44.5,0.0,286000,390000,325125.0,700,346000,158475.0,81281.25,4667.81,388.98,7923.75,7923.75,15847.5,1516692.19,126391.02,18.66
Penthouse,Paola,3.0,6,2,2.0,2.0,105.0,0.0,26.0,0.0,180000,403000,316708.33,1100,299250,150175.0,79177.08,4546.97,378.91,7508.75,7508.75,15017.5,1437133.03,119761.09,18.15
Flats,Gozo Ghajnsielem,3.0,3,2,,,,,,,148500,795000,386166.67,148500,215000,181750.0,96541.67,5544.18,462.02,9087.5,9087.5,18175.0,1739255.82,144937.98,18.02
Penthouse,Tarxien,3.0,4,2,2.0,2.0,101.0,0.0,22.0,0.0,270000,500000,338750.0,1300,315000,158150.0,84687.5,4863.42,405.29,7907.5,7907.5,15815.0,1513376.58,126114.71,17.87
Maisonette,Birkirkara,1.0,5,3,1.0,1.0,58.5,0.0,2.5,0.0,143000,250000,180600.0,650,250000,83880.0,45150.0,2592.87,216.07,4194.0,4194.0,8388.0,802655.13,66887.93,17.78
Maisonette,Hamrun,3.0,8,4,2.0,2.0,121.5,0.0,30.5,0.0,244000,499999,296187.38,750,271000,134475.0,74046.84,4252.35,354.36,6723.75,6723.75,13447.5,1286707.65,107225.64,17.38
Penthouse,Fgura,3.0,17,6,2.0,2.0,112.0,0.0,40.0,0.0,218000,450000,318882.35,1050,285000,138175.0,79720.59,4578.18,381.52,6908.75,6908.75,13817.5,1321901.82,110158.48,16.58
Penthouse,Safi,3.0,3,2,2.5,2.0,139.5,0.0,34.0,0.0,345000,478000,431000.0,1300,345000,173150.0,107750.0,6187.85,515.65,8657.5,8657.5,17315.0,1656052.15,138004.35,15.37
Penthouse,Zejtun,2.0,9,3,2.0,1.5,88.0,0.0,26.5,0.0,255000,329000,291555.56,750,320000,107200.0,72888.89,4185.85,348.82,5360.0,5360.0,10720.0,1024934.15,85411.18,14.06
Penthouse,Qormi,3.0,36,7,2.0,2.0,120.0,0.0,34.0,0.0,249000,532000,341469.44,1100,285000,118635.71,85367.36,4902.47,408.54,5931.79,5931.79,11863.57,1134000.35,94500.03,13.28
Maisonette,Marsaxlokk,2.0,10,3,2.0,2.0,90.0,0.0,27.0,0.0,213000,286000,240600.0,700,241000,80816.67,60150.0,3454.29,287.86,4040.83,4040.83,8081.67,772385.75,64365.48,12.84
Maisonette,Birzebbuga,2.0,8,3,1.0,1.0,90.0,0.0,11.0,0.0,197000,299000,246875.0,750,247000,82866.67,61718.75,3544.38,295.36,4143.33,4143.33,8286.67,791975.66,65997.97,12.83
Maisonette,Qormi,2.0,11,5,2.0,1.0,107.0,0.0,21.0,0.0,206500,440000,279518.18,750,255000,92760.0,69879.54,4013.03,334.42,4638.0,4638.0,9276.0,886482.97,73873.58,12.69
Penthouse,Zurrieq,2.0,9,3,2.0,0.5,86.5,0.0,32.0,0.0,245000,372000,301555.56,700,297000,99483.33,75388.89,4329.42,360.79,4974.17,4974.17,9948.33,950710.54,79225.88,12.61
Penthouse,Qrendi,2.0,7,3,1.0,1.5,78.0,0.0,38.0,0.0,265000,360000,317142.86,900,309000,103633.33,79285.72,4553.21,379.43,5181.67,5181.67,10363.33,990326.76,82527.23,12.49
Maisonette,Zurrieq,2.0,5,3,2.0,1.5,109.5,66.5,27.0,3.0,202000,405000,283400.0,675,275000,92191.67,70850.0,4068.76,339.06,4609.58,4609.58,9219.17,880971.27,73414.27,12.43
House of Character,Qormi,2.0,8,2,2.0,1.0,123.0,0.0,20.0,0.0,170000,797000,428375.0,750,265000,132875.0,107093.75,6150.17,512.51,6643.75,6643.75,13287.5,1269449.83,105787.49,11.85
Maisonette,Paola,1.0,7,3,1.0,1.0,63.5,0.0,1.0,0.0,139000,318000,172571.43,700,150000,50500.0,43142.86,2477.6,206.47,2525.0,2525.0,5050.0,482322.4,40193.53,11.18
Penthouse,Qormi,1.0,5,3,2.0,1.0,87.0,0.0,19.0,0.0,201000,320000,234600.0,725,201000,67491.67,58650.0,3368.14,280.68,3374.58,3374.58,6749.17,644551.89,53712.66,10.99
Maisonette,Ghaxaq,2.0,5,4,2.0,1.0,95.5,0.0,20.5,0.0,215000,240000,232800.0,650,239000,60312.5,58200.0,3342.3,278.53,3015.62,3015.62,6031.25,575657.7,47971.47,9.89
Penthouse,Zabbar,2.0,25,7,2.0,2.0,88.0,0.0,33.0,0.0,196700,462500,282776.0,800,280000,71442.86,70694.0,4059.81,338.32,3572.14,3572.14,7144.29,681791.65,56815.97,9.64
Penthouse,Fgura,2.0,23,7,2.0,1.0,85.0,0.0,37.0,0.0,194000,325000,255347.83,700,236000,64285.71,63836.96,3666.02,305.5,3214.29,3214.29,6428.57,613476.8,51123.07,9.61
Maisonette,Fgura,3.0,29,4,2.0,1.0,115.5,0.0,23.0,0.0,213000,426000,284714.83,850,260000,65700.0,71178.71,4087.64,340.64,3285.0,3285.0,6570.0,626632.36,52219.36,8.8
Penthouse,Marsaxlokk,2.0,13,9,1.0,2.0,98.5,0.0,58.5,0.0,300000,446500,351346.15,800,326000,72677.78,87836.54,5044.27,420.36,3633.89,3633.89,7267.78,692662.42,57721.87,7.89
Maisonette,Floriana,2.0,4,5,1.0,1.0,90.0,0.0,4.0,0.0,190000,450000,322500.0,750,325000,65870.0,80625.0,4630.12,385.84,3293.5,3293.5,6587.0,627721.88,52310.16,7.79
Maisonette,Gharghur,2.0,5,10,1.0,2.0,80.0,0.0,26.0,0.0,245000,399000,330000.0,800,345000,67344.0,82500.0,4737.8,394.82,3367.2,3367.2,6734.4,641764.6,53480.38,7.78
Townhouse,Vittoriosa,2.0,3,4,2.5,2.0,36.5,0.0,4.5,0.0,320000,550000,403333.33,900,320000,80800.0,100833.33,5790.64,482.55,4040.0,4040.0,8080.0,769889.36,64157.45,7.64
Penthouse,Birzebbuga,2.0,14,13,2.0,1.0,88.5,0.0,50.0,0.0,195000,985000,371357.14,50,337000,74030.77,92839.28,5331.56,444.3,3701.54,3701.54,7403.08,705363.83,58780.32,7.6
Penthouse,Pieta,1.0,6,5,1.0,1.0,57.0,0.0,29.0,0.0,210000,425000,315000.0,800,275000,56620.0,78750.0,4522.44,376.87,2831.0,2831.0,5662.0,539029.56,44919.13,6.84
Townhouse,Birkirkara,3.0,20,5,2.0,2.5,130.0,0.0,20.0,0.0,199000,800000,445300.0,1000,340000,69180.0,111325.0,6393.16,532.76,3459.0,3459.0,6918.0,657734.84,54811.24,5.91
Maisonette,St Paul's Bay,2.0,20,31,2.0,1.0,85.0,0.0,22.0,0.0,175000,499000,285954.0,60,345000,43626.13,71488.5,4105.43,342.12,2181.31,2181.31,4362.61,414705.42,34558.78,5.8
Maisonette,Qormi,3.0,23,6,2.0,2.0,121.5,0.0,29.0,0.0,225000,850000,323391.3,900,285000,48391.67,80847.82,4642.92,386.91,2419.58,2419.58,4839.17,459917.11,38326.43,5.69
Maisonette,St Paul's Bay,1.0,4,9,1.0,1.0,66.0,0.0,33.0,0.0,175000,255000,225000.0,650,255000,28936.11,56250.0,3230.32,269.19,1446.81,1446.81,2893.61,274556.34,22879.69,4.88
Penthouse,Birkirkara,1.0,9,9,2.0,1.0,65.5,0.0,41.0,0.0,187000,277000,230888.89,775,225000,25808.33,57722.22,3314.86,276.24,1290.42,1290.42,2580.83,244445.1,20370.43,4.23
Maisonette,Lija,3.0,7,8,2.0,2.0,140.5,0.0,31.0,0.0,340000,904000,445714.29,800,340000,43587.5,111428.57,6399.11,533.26,2179.38,2179.38,4358.75,412040.89,34336.74,3.7
Penthouse,Qawra,1.0,7,9,1.0,1.0,63.5,0.0,23.5,0.0,205000,290000,258142.86,750,205000,23588.89,64535.72,3706.15,308.85,1179.44,1179.44,2358.89,222747.2,18562.27,3.45
Penthouse,Msida,1.0,24,47,1.0,1.0,60.5,0.0,30.0,0.0,180000,290000,228762.5,650,255000,19388.3,57190.62,3284.34,273.69,969.42,969.42,1938.83,182843.34,15236.95,3.2
Maisonette,Birzebbuga,3.0,5,10,2.0,2.0,106.0,0.0,19.5,0.0,240000,372000,301600.0,700,240000,24805.0,75400.0,4330.06,360.84,1240.25,1240.25,2480.5,233797.94,19483.16,3.1
Maisonette,Marsascala,3.0,32,36,2.0,2.0,116.0,0.0,42.0,0.0,220000,395000,305281.25,200,315000,24393.25,76320.31,4382.91,365.24,1219.66,1219.66,2439.33,229792.29,19149.36,3.01
Maisonette,Naxxar,2.0,7,15,2.0,2.0,116.0,0.0,24.0,0.0,266000,370000,322142.86,700,339000,23416.67,80535.72,4624.99,385.42,1170.83,1170.83,2341.67,220175.04,18347.92,2.73
Penthouse,Birkirkara,2.0,11,20,2.0,2.0,83.5,0.0,35.0,0.0,240000,330000,287181.82,750,300000,16009.0,71795.46,4123.06,343.59,800.45,800.45,1600.9,149563.34,12463.61,2.08
Maisonette,Gzira,2.0,12,31,1.5,1.0,89.5,0.0,27.5,0.0,238000,750000,341583.33,695,269000,17664.35,85395.83,4904.1,408.68,883.22,883.22,1766.44,164673.66,13722.8,1.93
Penthouse,Marsascala,2.0,21,38,2.0,1.5,88.0,0.0,35.0,0.0,245000,478000,339785.71,650,325000,17378.95,84946.43,4878.29,406.52,868.95,868.95,1737.9,161959.63,13496.64,1.91
Penthouse,Msida,2.0,18,72,2.0,2.0,79.0,0.0,28.0,0.0,196000,350000,288611.11,96,314000,13706.54,72152.78,4143.58,345.3,685.33,685.33,1370.65,127439.2,10619.93,1.77
Penthouse,St Paul's Bay,2.0,23,54,2.0,2.0,78.0,0.0,23.0,0.0,213000,925000,379391.3,650,320000,17934.26,94847.82,5446.91,453.91,896.71,896.71,1793.43,166721.99,13893.5,1.76
Maisonette,Birkirkara,3.0,17,22,2.0,2.0,130.0,0.0,30.0,0.0,266000,549000,350000.0,800,315000,15354.55,87500.0,5024.94,418.74,767.73,767.73,1535.46,142378.74,11864.9,1.63
Maisonette,Birkirkara,2.0,11,22,2.0,2.0,86.5,0.0,17.5,0.0,189000,400000,269545.45,750,220000,10912.5,67386.36,3869.86,322.49,545.62,545.62,1091.25,100890.14,8407.51,1.5
Penthouse,Bugibba,2.0,10,24,2.0,2.0,73.0,0.0,42.0,0.0,265000,457000,319780.0,650,265000,11973.96,79945.0,4591.07,382.59,598.7,598.7,1197.4,110358.94,9196.58,1.38
Penthouse,Mosta,2.0,27,30,2.0,2.0,91.0,0.0,25.0,0.0,220000,585000,375870.37,750,340000,12409.17,93967.59,5396.36,449.7,620.46,620.46,1240.92,113731.67,9477.64,1.21
Maisonette,Mosta,3.0,25,31,2.0,2.0,131.0,0.0,41.0,0.0,245000,595000,391320.0,750,270000,9727.42,97830.0,5618.17,468.18,486.37,486.37,972.74,87765.06,7313.76,0.9
Penthouse,San Gwann,2.0,12,37,2.0,2.0,81.0,0.0,29.0,0.0,265000,550000,362250.0,750,265000,8278.38,90562.5,5200.81,433.4,413.92,413.92,827.84,74271.64,6189.3,0.82
Studio Flat,St Julian's,1.0,6,32,1.0,1.0,54.5,0.0,5.0,0.0,220000,305000,252500.0,120,3200,2166.72,63125.0,3625.13,302.09,108.34,108.34,216.67,17175.38,1431.28,0.27
Studio Flat,St Julian's,0.0,2,3,0.0,1.0,75.0,0.0,8.0,0.0,120000,120000,120000.0,850,1000,916.67,30000.0,1722.84,143.57,45.83,45.83,91.67,7077.2,589.77,0.24
House of Character,Birkirkara,3.0,6,6,2.0,2.5,160.0,0.0,20.0,0.0,325000,499000,420500.0,1650,6000,3108.33,105125.0,6037.1,503.09,155.42,155.42,310.83,23802.86,1983.57,0.23
Apartment Duplex,St Paul's Bay,2.0,2,2,1.5,1.5,77.5,0.0,14.5,0.0,165000,205000,185000.0,750,1450,1100.0,46250.0,2656.04,221.34,55.0,55.0,110.0,7903.96,658.66,0.17
