Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
Apartment,East,Msida,1.0,Shell,15,388,1.0,1.0,45.0,1.0,5.0,1.0,130000.0,201970.0,160000.0,400.0,3000.0,800.0,16000.0,144000.0,689.13,40.0,40.0,80.0,-49.13,-589.61,45.83,-3.69
Apartment,East,Saint Julian's,2.0,Plan,76,2143,1.0,2.0,78.5,93.0,8.5,10.0,245000.0,495000.0,300000.0,600.0,7000.0,1500.0,30000.0,270000.0,1292.13,75.0,75.0,150.0,-92.13,-1105.53,45.83,-3.69
Penthouse,East,Gzira,1.0,Shell,4,159,1.0,1.0,52.0,65.0,20.5,17.5,206000.0,450000.0,221000.0,500.0,2160.0,1100.0,22100.0,198900.0,951.87,55.0,55.0,110.0,-71.87,-862.4,45.93,-3.9
Apartment,Central,Hamrun,2.0,Shell,15,54,2.0,1.0,85.5,73.5,7.0,,108000.0,220000.0,161500.0,600.0,1200.0,800.0,16150.0,145350.0,695.6,40.0,40.0,80.0,-55.6,-667.14,46.03,-4.13
Apartment,South,Zabbar,2.0,Shell,12,51,2.0,1.0,95.0,75.0,7.0,5.0,147000.0,213000.0,151500.0,550.0,1250.0,750.0,15150.0,136350.0,652.52,37.5,37.5,75.0,-52.52,-630.29,46.04,-4.16
Townhouse,West,Zebbug,4.0,Unclassified,4,4,2.5,4.0,250.0,260.0,97.0,40.0,479000.0,850000.0,505000.0,1600.0,2500.0,2500.0,50500.0,454500.0,2175.08,125.0,125.0,250.0,-175.08,-2100.97,46.04,-4.16
Apartment,South,Paola,3.0,Finished,26,70,2.0,2.0,108.0,,13.0,,142000.0,293000.0,202250.0,650.0,2100.0,1000.0,20225.0,182025.0,871.11,50.0,50.0,100.0,-71.11,-853.31,46.07,-4.22
Penthouse,East,Saint Julian's,3.0,Finished,12,216,2.0,2.0,120.0,140.0,30.0,28.5,285000.0,790000.0,487500.0,900.0,9500.0,2400.0,48750.0,438750.0,2099.71,120.0,120.0,240.0,-179.71,-2156.48,46.16,-4.42
Apartment,West,Zebbug,2.0,Shell,12,80,1.5,2.0,,1.0,,1.0,117000.0,260000.0,173000.0,575.0,1300.0,850.0,17300.0,155700.0,745.13,42.5,42.5,85.0,-65.13,-781.52,46.2,-4.52
Penthouse,East,Gzira,1.0,Plan,4,159,1.0,1.0,54.5,65.0,21.0,17.5,215000.0,270000.0,224000.0,500.0,2160.0,1100.0,22400.0,201600.0,964.79,55.0,55.0,110.0,-84.79,-1017.46,46.21,-4.54
