Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
House of Character,East,Gharghur,3.0,Furnished,11,33,2.0,2.0,195.0,250.0,29.0,20.0,465000.0,885000.0,585000.0,950.0,5000.0,2000.0,58500.0,526500.0,2519.65,100.0,100.0,200.0,-919.65,-11035.77,55.47,-18.86
Apartment,North,Xemxija,3.0,Finished,11,264,2.0,2.0,109.5,125.0,17.5,8.0,320000.0,595000.0,351000.0,500.0,3000.0,1200.0,35100.0,315900.0,1511.79,60.0,60.0,120.0,-551.79,-6621.46,55.47,-18.86
Apartment,South,Zejtun,3.0,Unclassified,24,39,2.0,2.0,133.0,80.0,16.0,10.0,220000.0,285000.0,249000.0,700.0,1300.0,850.0,24900.0,224100.0,1072.47,42.5,42.5,85.0,-392.47,-4709.59,55.51,-18.91
Maisonette,Central,Qormi,3.0,Shell,6,22,2.0,2.0,63.5,95.0,46.0,8.0,230000.0,345500.0,271000.0,700.0,1500.0,925.0,27100.0,243900.0,1167.22,46.25,46.25,92.5,-427.22,-5126.66,55.52,-18.92
Townhouse,South,Cospicua,3.0,Unclassified,18,16,2.0,2.0,190.0,112.5,14.0,10.5,225000.0,639000.0,425000.0,950.0,2100.0,1450.0,42500.0,382500.0,1830.51,72.5,72.5,145.0,-670.51,-8046.16,55.53,-18.93
Villa,Central,Naxxar,3.0,Furnished,4,45,3.0,3.0,200.0,200.0,167.5,,1070000.0,1100000.0,1100000.0,1165.0,7000.0,3750.0,110000.0,990000.0,4737.8,187.5,187.5,375.0,-1737.8,-20853.59,55.56,-18.96
Penthouse,Central,Hamrun,1.0,Finished,6,21,1.0,1.0,60.0,57.5,50.0,29.0,220000.0,266000.0,220000.0,450.0,1050.0,750.0,22000.0,198000.0,947.56,37.5,37.5,75.0,-347.56,-4170.72,55.56,-18.96
Penthouse,East,Swieqi,3.0,Plan,4,136,2.0,2.0,113.0,118.5,122.0,17.5,520000.0,695000.0,587500.0,950.0,5000.0,2000.0,58750.0,528750.0,2530.42,100.0,100.0,200.0,-930.42,-11164.99,55.6,-19.0
Maisonette,South,Marsaskala,2.0,Plan,5,118,2.0,1.0,93.0,80.0,39.0,15.0,233000.0,245000.0,235000.0,550.0,6000.0,800.0,23500.0,211500.0,1012.17,40.0,40.0,80.0,-372.17,-4465.99,55.6,-19.0
Apartment,South,Marsaxlokk,2.0,Plan,15,46,2.0,1.0,88.0,1.0,13.5,1.0,190000.0,270000.0,235000.0,600.0,2100.0,800.0,23500.0,211500.0,1012.17,40.0,40.0,80.0,-372.17,-4465.99,55.6,-19.0
Apartment,South,Zurrieq,2.0,Unclassified,3,54,2.0,1.0,110.25,90.0,13.4,8.0,202000.0,310000.0,235000.0,450.0,6000.0,800.0,23500.0,211500.0,1012.17,40.0,40.0,80.0,-372.17,-4465.99,55.6,-19.0
Maisonette,South,Marsaxlokk,2.0,Finished,4,6,2.0,1.5,,,,,225000.0,250000.0,242500.0,750.0,900.0,825.0,24250.0,218250.0,1044.47,41.25,41.25,82.5,-384.47,-4613.63,55.62,-19.03
Apartment,South,Zejtun,3.0,Plan,15,39,2.5,2.0,128.0,80.0,12.0,10.0,225000.0,300000.0,249900.0,700.0,1300.0,850.0,24990.0,224910.0,1076.34,42.5,42.5,85.0,-396.34,-4756.1,55.62,-19.03
Apartment,South,Zurrieq,3.0,Unclassified,13,110,2.0,2.0,135.0,107.5,16.0,8.0,223000.0,366000.0,250000.0,600.0,1650.0,850.0,25000.0,225000.0,1076.77,42.5,42.5,85.0,-396.77,-4761.27,55.64,-19.05
Penthouse,East,Sliema,2.0,Furnished,6,502,2.0,2.0,,95.0,,30.0,350000.0,750000.0,500000.0,700.0,6000.0,1700.0,50000.0,450000.0,2153.55,85.0,85.0,170.0,-793.55,-9522.54,55.64,-19.05
Penthouse,South,Fgura,2.0,Plan,13,15,2.0,1.0,80.0,,36.0,,194000.0,266000.0,250000.0,650.0,1100.0,850.0,25000.0,225000.0,1076.77,42.5,42.5,85.0,-396.77,-4761.27,55.64,-19.05
Apartment,West,Zebbug,2.0,Unclassified,17,80,2.0,2.0,98.0,1.0,16.0,1.0,220000.0,425000.0,250000.0,575.0,1300.0,850.0,25000.0,225000.0,1076.77,42.5,42.5,85.0,-396.77,-4761.27,55.64,-19.05
Maisonette,East,Pieta,2.0,Finished,5,18,1.0,2.0,100.0,1.0,5.0,1.0,234000.0,266000.0,265000.0,750.0,1200.0,900.0,26500.0,238500.0,1141.38,45.0,45.0,90.0,-421.38,-5056.55,55.67,-19.08
Apartment,South,Marsaskala,3.0,Unclassified,57,822,2.0,2.0,117.0,102.0,10.0,9.0,223000.0,495000.0,265000.0,600.0,2500.0,900.0,26500.0,238500.0,1141.38,45.0,45.0,90.0,-421.38,-5056.55,55.67,-19.08
Townhouse,South,Zejtun,3.0,Furnished,6,10,2.0,2.5,111.0,84.0,68.0,20.0,287000.0,750000.0,530000.0,1000.0,2000.0,1800.0,53000.0,477000.0,2282.76,90.0,90.0,180.0,-842.76,-10113.09,55.67,-19.08
Penthouse,Central,Qormi,2.0,Unclassified,7,19,2.0,2.0,80.0,1.0,21.5,1.0,212000.0,357000.0,265000.0,650.0,1200.0,900.0,26500.0,238500.0,1141.38,45.0,45.0,90.0,-421.38,-5056.55,55.67,-19.08
Apartment,East,Sliema,1.0,Unclassified,13,1189,1.0,1.0,65.0,50.0,3.0,1.0,185000.0,315000.0,280000.0,500.0,4200.0,950.0,28000.0,252000.0,1205.99,47.5,47.5,95.0,-445.99,-5351.82,55.7,-19.11
Apartment,South,Birzebbuga,3.0,Unclassified,18,100,2.0,2.0,105.0,92.0,7.0,4.0,230000.0,372000.0,265500.0,650.0,1700.0,900.0,26550.0,238950.0,1143.53,45.0,45.0,90.0,-423.53,-5082.39,55.73,-19.14
Penthouse,North,Qawra,2.0,Shell,7,83,2.0,2.0,97.5,70.0,33.0,10.0,265000.0,372000.0,295000.0,550.0,2100.0,1000.0,29500.0,265500.0,1270.59,50.0,50.0,100.0,-470.59,-5647.1,55.73,-19.14
Maisonette,Central,Mosta,2.0,Finished,27,48,2.0,2.0,122.0,75.0,26.5,12.5,230000.0,385000.0,295000.0,500.0,1700.0,1000.0,29500.0,265500.0,1270.59,50.0,50.0,100.0,-470.59,-5647.1,55.73,-19.14
Apartment,Central,Balzan,3.0,Plan,102,126,3.0,2.0,156.0,120.0,19.0,10.0,200000.0,473000.0,354000.0,750.0,2500.0,1200.0,35400.0,318600.0,1524.71,60.0,60.0,120.0,-564.71,-6776.52,55.73,-19.14
Penthouse,South,Marsaskala,2.0,Furnished,7,130,2.0,1.0,78.0,75.0,29.5,20.5,245000.0,480000.0,295000.0,650.0,2000.0,1000.0,29500.0,265500.0,1270.59,50.0,50.0,100.0,-470.59,-5647.1,55.73,-19.14
Maisonette,North,Qawra,3.0,Finished,7,44,2.0,2.0,123.5,140.0,32.0,15.0,248000.0,330000.0,295000.0,725.0,2000.0,1000.0,29500.0,265500.0,1270.59,50.0,50.0,100.0,-470.59,-5647.1,55.73,-19.14
Apartment,North,Manikata,3.0,Plan,9,29,2.0,2.0,118.0,,29.0,,285000.0,440000.0,325000.0,800.0,2500.0,1100.0,32500.0,292500.0,1399.8,55.0,55.0,110.0,-519.8,-6237.65,55.78,-19.19
Maisonette,Central,Attard,2.0,Shell,3,37,2.5,2.0,85.0,95.0,115.0,10.5,265000.0,335000.0,266000.0,650.0,1600.0,900.0,26600.0,239400.0,1145.69,45.0,45.0,90.0,-425.69,-5108.23,55.79,-19.2
Maisonette,East,Sliema,1.0,Furnished,7,113,1.0,1.0,,60.0,,10.0,230000.0,390000.0,266000.0,600.0,1800.0,900.0,26600.0,239400.0,1145.69,45.0,45.0,90.0,-425.69,-5108.23,55.79,-19.2
Apartment,South,Zejtun,3.0,Furnished,6,39,2.0,2.0,110.0,80.0,10.0,10.0,230000.0,450000.0,252000.0,700.0,1300.0,850.0,25200.0,226800.0,1085.39,42.5,42.5,85.0,-405.39,-4864.64,55.88,-19.3
Maisonette,East,Sliema,1.0,Finished,6,113,1.0,1.0,75.0,60.0,7.0,10.0,235000.0,390000.0,267000.0,600.0,1800.0,900.0,26700.0,240300.0,1149.99,45.0,45.0,90.0,-429.99,-5159.92,55.9,-19.33
Penthouse,Central,Mosta,3.0,Furnished,3,74,2.0,2.0,120.0,135.0,30.0,40.0,405000.0,520000.0,445000.0,800.0,3000.0,1500.0,44500.0,400500.0,1916.66,75.0,75.0,150.0,-716.66,-8599.86,55.9,-19.33
Apartment,West,Zebbug,3.0,Finished,30,236,2.0,2.0,133.5,1.0,14.0,1.0,250000.0,395000.0,282000.0,650.0,2100.0,950.0,28200.0,253800.0,1214.6,47.5,47.5,95.0,-454.6,-5455.19,55.92,-19.34
Apartment,West,Rabat,3.0,Shell,6,123,2.0,2.0,108.0,107.5,11.0,10.0,266000.0,313000.0,297000.0,700.0,3600.0,1000.0,29700.0,267300.0,1279.21,50.0,50.0,100.0,-479.21,-5750.47,55.94,-19.36
Apartment,West,Rabat,3.0,Finished,37,123,2.0,2.0,110.0,107.5,10.5,10.0,250000.0,385000.0,297000.0,700.0,3600.0,1000.0,29700.0,267300.0,1279.21,50.0,50.0,100.0,-479.21,-5750.47,55.94,-19.36
Maisonette,West,Zebbug,3.0,Finished,5,61,3.0,2.0,140.0,50.0,15.0,50.0,255000.0,383000.0,297000.0,700.0,2000.0,1000.0,29700.0,267300.0,1279.21,50.0,50.0,100.0,-479.21,-5750.47,55.94,-19.36
Penthouse,South,Mqabba,2.0,Plan,4,4,1.0,2.0,,,,,245000.0,255000.0,245000.0,800.0,1000.0,825.0,24500.0,220500.0,1055.24,41.25,41.25,82.5,-395.24,-4742.85,55.93,-19.36
Maisonette,South,Fgura,2.0,Finished,5,8,2.0,1.0,97.0,,29.0,,228500.0,300000.0,245000.0,710.0,900.0,825.0,24500.0,220500.0,1055.24,41.25,41.25,82.5,-395.24,-4742.85,55.93,-19.36
Maisonette,Central,Birkirkara,2.0,Finished,14,55,2.0,2.0,86.5,5.5,10.5,5.5,240000.0,375000.0,275000.0,650.0,2100.0,925.0,27500.0,247500.0,1184.45,46.25,46.25,92.5,-444.45,-5333.4,55.97,-19.39
Townhouse,South,Paola,2.0,Unclassified,4,7,1.0,1.0,85.0,1.0,14.5,1.0,265000.0,361000.0,267500.0,700.0,1200.0,900.0,26750.0,240750.0,1152.15,45.0,45.0,90.0,-432.15,-5185.76,55.96,-19.39
Apartment,North,Mellieha,2.0,Furnished,6,417,2.0,2.0,,76.0,,12.5,223000.0,372000.0,267500.0,500.0,2640.0,900.0,26750.0,240750.0,1152.15,45.0,45.0,90.0,-432.15,-5185.76,55.96,-19.39
Penthouse,Central,Mosta,3.0,Plan,27,74,2.0,2.0,127.5,135.0,35.0,40.0,400000.0,750000.0,446000.0,800.0,3000.0,1500.0,44600.0,401400.0,1920.96,75.0,75.0,150.0,-720.96,-8651.55,55.97,-19.4
Maisonette,North,Mellieha,3.0,Finished,30,104,2.0,2.0,134.5,95.0,25.5,15.0,245000.0,399000.0,297500.0,500.0,3000.0,1000.0,29750.0,267750.0,1281.36,50.0,50.0,100.0,-481.36,-5776.31,55.99,-19.42
House of Character,West,Siggiewi,3.0,Unclassified,3,17,2.0,3.0,194.0,,87.0,,532000.0,715000.0,595000.0,750.0,3500.0,2000.0,59500.0,535500.0,2562.72,100.0,100.0,200.0,-962.72,-11552.62,55.99,-19.42
House of Character,West,Siggiewi,3.0,Furnished,17,17,2.0,3.0,230.0,,78.5,,350000.0,985000.0,595000.0,750.0,3500.0,2000.0,59500.0,535500.0,2562.72,100.0,100.0,200.0,-962.72,-11552.62,55.99,-19.42
Apartment,Central,Naxxar,3.0,Furnished,22,337,2.0,2.0,120.0,110.0,10.0,5.0,280000.0,426000.0,327500.0,650.0,2800.0,1100.0,32750.0,294750.0,1410.57,55.0,55.0,110.0,-530.57,-6366.86,56.01,-19.44
Penthouse,East,Sliema,3.0,Unclassified,5,358,2.0,2.0,79.0,129.0,64.0,10.0,695000.0,795000.0,730000.0,800.0,9500.0,2450.0,73000.0,657000.0,3144.18,122.5,122.5,245.0,-1184.18,-14210.11,56.04,-19.47
Penthouse,East,Swieqi,2.0,Plan,4,275,2.0,2.0,100.0,86.0,25.0,15.0,385000.0,650000.0,447000.0,800.0,4000.0,1500.0,44700.0,402300.0,1925.27,75.0,75.0,150.0,-725.27,-8703.23,56.04,-19.47
Penthouse,East,Sliema,3.0,Plan,3,358,2.0,2.0,,129.0,,10.0,564000.0,730000.0,730000.0,800.0,9500.0,2450.0,73000.0,657000.0,3144.18,122.5,122.5,245.0,-1184.18,-14210.11,56.04,-19.47
Penthouse,South,Fgura,3.0,Unclassified,8,11,2.0,2.0,92.5,,38.0,,255000.0,372000.0,298000.0,750.0,1500.0,1000.0,29800.0,268200.0,1283.51,50.0,50.0,100.0,-483.51,-5802.16,56.04,-19.47
Townhouse,Central,Birkirkara,3.0,Furnished,16,17,2.0,2.0,138.0,120.0,25.0,,199000.0,800000.0,417285.0,650.0,2500.0,1400.0,41728.5,375556.5,1797.28,70.0,70.0,140.0,-677.28,-8127.41,56.05,-19.48
Apartment,West,Zebbug,2.0,Plan,16,80,2.0,2.0,67.0,1.0,10.0,1.0,230000.0,273000.0,253500.0,575.0,1300.0,850.0,25350.0,228150.0,1091.85,42.5,42.5,85.0,-411.85,-4942.17,56.07,-19.5
Apartment,North,Saint Paul's Bay,3.0,Finished,92,641,2.0,2.0,111.0,92.5,14.0,10.0,195000.0,595000.0,299000.0,500.0,4000.0,1000.0,29900.0,269100.0,1287.82,50.0,50.0,100.0,-487.82,-5853.84,56.15,-19.58
Apartment,South,Ghaxaq,2.0,Finished,33,22,2.0,1.0,96.0,90.0,7.5,20.0,220000.0,255000.0,225000.0,550.0,1000.0,750.0,22500.0,202500.0,969.1,37.5,37.5,75.0,-369.1,-4429.14,56.25,-19.69
Penthouse,Central,Hamrun,1.0,Plan,3,21,1.0,1.0,73.0,57.5,18.0,29.0,150000.0,225000.0,225000.0,450.0,1050.0,750.0,22500.0,202500.0,969.1,37.5,37.5,75.0,-369.1,-4429.14,56.25,-19.69
Penthouse,Central,Qormi,2.0,Plan,4,19,2.0,2.0,85.0,1.0,31.0,1.0,265000.0,400000.0,270000.0,650.0,1200.0,900.0,27000.0,243000.0,1162.91,45.0,45.0,90.0,-442.91,-5314.97,56.25,-19.69
Penthouse,Central,Hamrun,1.0,Unclassified,9,21,1.0,1.0,64.5,57.5,18.0,29.0,225000.0,247000.0,225000.0,450.0,1050.0,750.0,22500.0,202500.0,969.1,37.5,37.5,75.0,-369.1,-4429.14,56.25,-19.69
Apartment,South,Luqa,3.0,Plan,7,34,1.0,2.0,135.0,99.5,12.0,10.0,270000.0,299000.0,270000.0,700.0,1300.0,900.0,27000.0,243000.0,1162.91,45.0,45.0,90.0,-442.91,-5314.97,56.25,-19.69
Apartment,South,Zabbar,2.0,Furnished,10,51,1.5,1.0,80.0,75.0,22.0,5.0,197000.0,298000.0,225000.0,550.0,1250.0,750.0,22500.0,202500.0,969.1,37.5,37.5,75.0,-369.1,-4429.14,56.25,-19.69
Apartment,North,Saint Paul's Bay,2.0,Finished,207,549,2.0,2.0,90.0,62.5,14.0,5.0,160000.0,550000.0,255000.0,500.0,3000.0,850.0,25500.0,229500.0,1098.31,42.5,42.5,85.0,-418.31,-5019.7,56.25,-19.69
Maisonette,North,Bugibba,2.0,Furnished,3,29,2.0,1.0,55.0,,10.0,,239000.0,240000.0,240000.0,700.0,1750.0,800.0,24000.0,216000.0,1033.7,40.0,40.0,80.0,-393.7,-4724.42,56.25,-19.69
Penthouse,South,Marsaskala,2.0,Finished,19,130,2.0,1.0,88.0,75.0,35.0,20.5,250000.0,478000.0,300000.0,650.0,2000.0,1000.0,30000.0,270000.0,1292.13,50.0,50.0,100.0,-492.13,-5905.53,56.25,-19.69
Maisonette,North,Mellieha,3.0,Plan,16,104,2.0,2.0,166.5,95.0,41.0,15.0,245000.0,430000.0,300000.0,500.0,3000.0,1000.0,30000.0,270000.0,1292.13,50.0,50.0,100.0,-492.13,-5905.53,56.25,-19.69
Maisonette,Central,Attard,3.0,Unclassified,3,84,2.0,2.0,113.0,130.0,33.0,30.0,340000.0,370000.0,360000.0,750.0,1800.0,1200.0,36000.0,324000.0,1550.55,60.0,60.0,120.0,-590.55,-7086.63,56.25,-19.69
Apartment,Central,Attard,3.0,Furnished,21,213,2.0,2.0,120.0,112.5,10.0,1.0,260000.0,480000.0,345000.0,750.0,2100.0,1150.0,34500.0,310500.0,1485.95,57.5,57.5,115.0,-565.95,-6791.35,56.25,-19.69
Maisonette,Central,Attard,3.0,Finished,19,84,2.0,2.0,106.0,130.0,34.0,30.0,266000.0,430000.0,360000.0,750.0,1800.0,1200.0,36000.0,324000.0,1550.55,60.0,60.0,120.0,-590.55,-7086.63,56.25,-19.69
Penthouse,Central,Mosta,3.0,Finished,39,74,2.0,2.0,127.0,135.0,61.0,40.0,350000.0,745000.0,450000.0,800.0,3000.0,1500.0,45000.0,405000.0,1938.19,75.0,75.0,150.0,-738.19,-8858.29,56.25,-19.69
Apartment,South,Ghaxaq,3.0,Furnished,8,45,2.0,2.0,110.0,124.0,10.0,17.0,258000.0,372000.0,270000.0,600.0,1200.0,900.0,27000.0,243000.0,1162.91,45.0,45.0,90.0,-442.91,-5314.97,56.25,-19.69
Townhouse,South,Tarxien,2.0,Furnished,4,4,2.0,1.5,225.0,,160.0,,320000.0,375000.0,360000.0,650.0,1500.0,1200.0,36000.0,324000.0,1550.55,60.0,60.0,120.0,-590.55,-7086.63,56.25,-19.69
Apartment,Central,Swatar,3.0,Shell,17,158,2.0,2.0,134.0,110.0,23.0,12.0,250000.0,355000.0,300000.0,750.0,2100.0,1000.0,30000.0,270000.0,1292.13,50.0,50.0,100.0,-492.13,-5905.53,56.25,-19.69
House of Character,Central,Qormi,2.0,Unclassified,7,8,2.0,1.0,110.0,,22.5,,170000.0,650000.0,270000.0,600.0,1600.0,900.0,27000.0,243000.0,1162.91,45.0,45.0,90.0,-442.91,-5314.97,56.25,-19.69
Penthouse,North,Qawra,1.0,Plan,4,44,1.5,1.0,62.0,32.5,22.0,15.0,205000.0,275000.0,240000.0,550.0,1150.0,800.0,24000.0,216000.0,1033.7,40.0,40.0,80.0,-393.7,-4724.42,56.25,-19.69
Apartment,Central,Swatar,3.0,Finished,37,158,2.0,2.0,,110.0,,12.0,250000.0,405000.0,300000.0,750.0,2100.0,1000.0,30000.0,270000.0,1292.13,50.0,50.0,100.0,-492.13,-5905.53,56.25,-19.69
Penthouse,Central,Birkirkara,2.0,Plan,6,56,2.0,2.0,88.0,40.5,89.0,1.0,266000.0,300000.0,300000.0,750.0,1400.0,1000.0,30000.0,270000.0,1292.13,50.0,50.0,100.0,-492.13,-5905.53,56.25,-19.69
Apartment,South,Marsaxlokk,3.0,Unclassified,33,68,2.0,2.0,126.0,142.5,18.0,78.0,198000.0,340000.0,271000.0,700.0,2100.0,900.0,27100.0,243900.0,1167.22,45.0,45.0,90.0,-447.22,-5366.66,56.37,-19.8
Apartment,South,Zejtun,2.0,Unclassified,10,48,2.0,2.0,113.5,90.0,13.95,4.0,185000.0,286000.0,226000.0,500.0,1000.0,750.0,22600.0,203400.0,973.4,37.5,37.5,75.0,-373.4,-4480.83,56.39,-19.83
Penthouse,Central,Mosta,2.0,Unclassified,18,108,2.0,2.0,102.0,130.0,40.0,51.0,235000.0,607000.0,340000.0,750.0,2200.0,1125.0,34000.0,306000.0,1464.41,56.25,56.25,112.5,-564.41,-6772.93,56.48,-19.92
Townhouse,South,Zejtun,3.0,Unclassified,8,10,2.0,2.5,124.0,84.0,20.0,20.0,235000.0,750000.0,545000.0,1000.0,2000.0,1800.0,54500.0,490500.0,2347.36,90.0,90.0,180.0,-907.36,-10888.37,56.54,-19.98
Maisonette,Central,Mosta,2.0,Unclassified,3,48,2.0,2.0,100.0,75.0,6.0,12.5,295000.0,345000.0,303000.0,500.0,1700.0,1000.0,30300.0,272700.0,1305.05,50.0,50.0,100.0,-505.05,-6060.58,56.56,-20.0
Apartment,West,Siggiewi,3.0,Finished,31,92,2.0,2.0,105.0,95.0,14.0,10.0,270000.0,351000.0,303000.0,600.0,1500.0,1000.0,30300.0,272700.0,1305.05,50.0,50.0,100.0,-505.05,-6060.58,56.56,-20.0
Townhouse,West,Zebbug,3.0,Furnished,9,8,2.0,2.0,136.0,,13.0,,298000.0,980000.0,485000.0,900.0,3000.0,1600.0,48500.0,436500.0,2088.94,80.0,80.0,160.0,-808.94,-9707.27,56.58,-20.01
Maisonette,South,Fgura,2.0,Plan,3,8,2.0,1.0,83.0,,2.0,,245000.0,255000.0,250000.0,710.0,900.0,825.0,25000.0,225000.0,1076.77,41.25,41.25,82.5,-416.77,-5001.27,56.57,-20.01
Townhouse,Central,Birkirkara,3.0,Finished,10,17,2.0,2.0,76.0,120.0,31.0,,287000.0,617000.0,424500.0,650.0,2500.0,1400.0,42450.0,382050.0,1828.36,70.0,70.0,140.0,-708.36,-8500.32,56.58,-20.02
Apartment,Gozo,Gozo - Nadur,2.0,Shell,6,56,2.0,2.0,127.0,0.0,9.5,10.0,148000.0,314000.0,182000.0,400.0,1000.0,600.0,18200.0,163800.0,783.89,30.0,30.0,60.0,-303.89,-3646.69,56.6,-20.04
Apartment,Central,Santa Venera,3.0,Furnished,14,111,2.0,2.0,120.5,120.0,13.5,1.0,234000.0,457000.0,303500.0,600.0,2000.0,1000.0,30350.0,273150.0,1307.2,50.0,50.0,100.0,-507.2,-6086.42,56.61,-20.05
Maisonette,South,Marsaskala,3.0,Plan,18,148,2.0,2.0,116.0,110.0,23.0,20.0,225000.0,370000.0,300000.0,650.0,6000.0,987.5,30000.0,270000.0,1292.13,49.38,49.38,98.75,-502.13,-6025.53,56.65,-20.09
Apartment,South,Luqa,3.0,Unclassified,8,34,2.0,2.0,119.5,99.5,22.0,10.0,245000.0,340000.0,273500.0,700.0,1300.0,900.0,27350.0,246150.0,1177.99,45.0,45.0,90.0,-457.99,-5495.87,56.66,-20.09
Penthouse,Central,Birkirkara,3.0,Plan,12,45,2.0,2.0,112.5,100.0,29.0,17.5,275000.0,405000.0,334500.0,850.0,1900.0,1100.0,33450.0,301050.0,1440.72,55.0,55.0,110.0,-560.72,-6728.66,56.68,-20.12
Apartment,West,Zebbug,3.0,Unclassified,29,236,2.0,2.0,119.0,1.0,20.0,1.0,245000.0,368000.0,289000.0,650.0,2100.0,950.0,28900.0,260100.0,1244.75,47.5,47.5,95.0,-484.75,-5816.99,56.69,-20.13
Townhouse,South,Birgu,2.0,Finished,3,10,2.0,2.0,,75.0,,25.0,340000.0,436000.0,350000.0,750.0,1200.0,1150.0,35000.0,315000.0,1507.48,57.5,57.5,115.0,-587.48,-7049.78,56.7,-20.14
Townhouse,South,Birgu,2.0,Unclassified,7,10,2.0,2.0,73.0,75.0,9.0,25.0,310000.0,635000.0,350000.0,750.0,1200.0,1150.0,35000.0,315000.0,1507.48,57.5,57.5,115.0,-587.48,-7049.78,56.7,-20.14
Apartment,Central,Naxxar,3.0,Finished,66,337,2.0,2.0,92.0,110.0,10.0,5.0,254000.0,425000.0,335000.0,650.0,2800.0,1100.0,33500.0,301500.0,1442.88,55.0,55.0,110.0,-562.88,-6754.5,56.72,-20.16
Apartment,North,Mellieha,2.0,Finished,58,417,2.0,2.0,88.0,76.0,14.0,12.5,200000.0,505000.0,275000.0,500.0,2640.0,900.0,27500.0,247500.0,1184.45,45.0,45.0,90.0,-464.45,-5573.4,56.83,-20.27
Apartment,South,Zurrieq,3.0,Plan,6,110,2.0,2.0,122.5,107.5,10.0,8.0,220000.0,285000.0,260000.0,600.0,1650.0,850.0,26000.0,234000.0,1119.84,42.5,42.5,85.0,-439.84,-5278.12,56.86,-20.3
Maisonette,South,Fgura,3.0,Finished,9,16,2.0,1.0,116.0,125.0,21.0,40.0,245000.0,330000.0,260000.0,800.0,3000.0,850.0,26000.0,234000.0,1119.84,42.5,42.5,85.0,-439.84,-5278.12,56.86,-20.3
Apartment,South,Zejtun,3.0,Finished,29,39,2.0,2.0,110.0,80.0,20.0,10.0,191000.0,290000.0,260000.0,700.0,1300.0,850.0,26000.0,234000.0,1119.84,42.5,42.5,85.0,-439.84,-5278.12,56.86,-20.3
Apartment,South,Ghaxaq,2.0,Plan,6,22,2.0,1.0,92.0,90.0,9.0,20.0,220000.0,245000.0,229500.0,550.0,1000.0,750.0,22950.0,206550.0,988.48,37.5,37.5,75.0,-388.48,-4661.73,56.88,-20.31
Maisonette,Central,Hamrun,3.0,Unclassified,8,9,2.0,2.0,110.0,,17.0,,240000.0,350000.0,275500.0,750.0,1200.0,900.0,27550.0,247950.0,1186.6,45.0,45.0,90.0,-466.6,-5599.24,56.89,-20.32
Apartment,Central,Qormi,1.0,Furnished,3,7,1.0,1.0,63.0,1.0,3.0,1.0,199000.0,220000.0,199000.0,500.0,800.0,650.0,19900.0,179100.0,857.11,32.5,32.5,65.0,-337.11,-4045.33,56.89,-20.33
Apartment,South,Zabbar,3.0,Plan,88,75,2.0,2.0,116.0,102.5,19.0,5.0,198000.0,310000.0,245000.0,650.0,1500.0,800.0,24500.0,220500.0,1055.24,40.0,40.0,80.0,-415.24,-4982.85,56.9,-20.34
Apartment,Central,Qormi,2.0,Furnished,3,49,1.0,2.0,92.5,40.5,20.0,5.5,234000.0,335000.0,245000.0,600.0,1750.0,800.0,24500.0,220500.0,1055.24,40.0,40.0,80.0,-415.24,-4982.85,56.9,-20.34
Apartment,East,Valletta,2.0,Unclassified,7,187,1.0,2.0,90.0,90.0,63.5,4.0,475000.0,600000.0,490000.0,650.0,6000.0,1600.0,49000.0,441000.0,2110.47,80.0,80.0,160.0,-830.47,-9965.69,56.9,-20.34
Apartment,Central,Naxxar,3.0,Unclassified,34,337,2.0,2.0,116.0,110.0,10.0,5.0,236000.0,440000.0,337000.0,650.0,2800.0,1100.0,33700.0,303300.0,1451.49,55.0,55.0,110.0,-571.49,-6857.87,56.91,-20.35
Maisonette,North,Mellieha,2.0,Finished,8,53,2.0,1.0,114.0,1.0,9.0,1.0,228000.0,371000.0,276000.0,500.0,2000.0,900.0,27600.0,248400.0,1188.76,45.0,45.0,90.0,-468.76,-5625.08,56.94,-20.38
Apartment,East,Ta' Xbiex,1.0,Furnished,4,50,1.0,1.0,50.0,1.0,5.0,1.0,170000.0,315000.0,230000.0,500.0,1400.0,750.0,23000.0,207000.0,990.63,37.5,37.5,75.0,-390.63,-4687.57,56.94,-20.38
Penthouse Duplex,East,Sliema,3.0,Finished,6,13,2.0,2.0,120.0,120.0,29.0,32.0,540000.0,1100000.0,614500.0,1400.0,2800.0,2000.0,61450.0,553050.0,2646.71,100.0,100.0,200.0,-1046.71,-12560.48,57.01,-20.44
Penthouse,South,Tarxien,3.0,Plan,4,4,2.0,2.0,99.0,95.0,22.0,35.0,270000.0,315000.0,292000.0,850.0,1300.0,950.0,29200.0,262800.0,1257.67,47.5,47.5,95.0,-497.67,-5972.04,57.02,-20.45
Penthouse Duplex,East,Sliema,3.0,Furnished,4,13,2.5,2.0,150.0,120.0,30.0,32.0,540000.0,690000.0,615000.0,1400.0,2800.0,2000.0,61500.0,553500.0,2648.86,100.0,100.0,200.0,-1048.86,-12586.33,57.03,-20.47
