Type,Province,Town,Bedrooms,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Villa,West,Dingli,4.0,2,2.5,,,4000.0,5000.0,4500.0
Villa Semi-Detached,East,Sliema,5.0,1,3.0,,,4500.0,4500.0,4500.0
Villa,North,Manikata,4.0,3,3.0,0.0,0.0,3750.0,5000.0,4500.0
Penthouse,East,Madliena,4.0,1,2.0,200.0,100.0,4500.0,4500.0,4500.0
Penthouse,East,Sliema,4.0,19,3.0,0.0,0.0,2500.0,8000.0,4500.0
Block of Apartments,East,Sliema,3.0,2,1.5,0.0,0.0,2100.0,6800.0,4450.0
Bungalow,East,Madliena,4.0,2,2.5,,,2800.0,6000.0,4400.0
House of Character,South,Senglea,3.0,1,3.0,,,4258.0,4258.0,4258.0
Villa Semi-Detached,Central,Balzan,4.0,2,2.5,0.0,0.0,2500.0,6000.0,4250.0
Villa,East,Swieqi,4.0,37,3.0,0.0,0.0,1600.0,7800.0,4200.0
Villa Semi-Detached,East,Ta' Xbiex,5.0,3,3.0,0.0,0.0,2500.0,5000.0,4200.0
Villa,Central,Mosta,5.0,1,4.0,,,4200.0,4200.0,4200.0
House of Character,East,Gzira,7.0,1,7.0,,,4100.0,4100.0,4100.0
House of Character,East,Gharghur,4.0,6,4.0,0.0,0.0,2500.0,6900.0,4100.0
Villa Semi-Detached,Central,Naxxar,6.0,1,5.0,,,4000.0,4000.0,4000.0
Farmhouse,East,Maghtab,4.0,1,3.0,,,4000.0,4000.0,4000.0
Bungalow,North,Bidnija,4.0,1,3.0,0.0,0.0,4000.0,4000.0,4000.0
Villa,Central,Naxxar,4.0,8,3.0,0.0,0.0,1500.0,6000.0,4000.0
Bungalow,North,Burmarrad,3.0,1,3.0,,,4000.0,4000.0,4000.0
Villa,South,Zejtun,3.0,1,3.0,,,4000.0,4000.0,4000.0
Villa,East,Saint Julian's,6.0,1,3.0,,,4000.0,4000.0,4000.0
Villa,North,Wardija,4.0,1,3.0,,,4000.0,4000.0,4000.0
Farmhouse,North,Wardija,4.0,1,2.0,0.0,0.0,4000.0,4000.0,4000.0
Farmhouse,North,Wardija,3.0,1,2.0,150.0,0.0,4000.0,4000.0,4000.0
Farmhouse,North,Saint Paul's Bay,4.0,1,3.0,,,4000.0,4000.0,4000.0
House of Character,West,Zebbug,4.0,5,3.0,0.0,0.0,3500.0,5000.0,4000.0
Villa,North,Bidnija,3.0,1,1.0,,,4000.0,4000.0,4000.0
Villa Semi-Detached,East,Pembroke,8.0,1,4.0,,,4000.0,4000.0,4000.0
Bungalow,Central,Balzan,3.0,1,3.0,,,4000.0,4000.0,4000.0
Bungalow,Central,Naxxar,4.0,10,3.0,0.0,0.0,2800.0,6000.0,4000.0
House of Character,North,Saint Paul's Bay,4.0,1,4.0,,,4000.0,4000.0,4000.0
Villa Semi-Detached,East,Ta' Xbiex,3.0,5,3.0,229.0,19.0,2500.0,5000.0,4000.0
Bungalow,East,Kappara,3.0,3,3.0,0.0,0.0,2000.0,4500.0,4000.0
Block of Apartments,East,Gzira,1.0,3,1.0,0.0,0.0,1200.0,6000.0,4000.0
Villa Semi-Detached,East,Ta' Xbiex,4.0,10,3.0,0.0,0.0,2500.0,5000.0,4000.0
Palazzo,Central,Balzan,3.0,4,2.0,0.0,0.0,1500.0,4000.0,4000.0
Bungalow,Central,Naxxar,5.0,2,3.5,0.0,0.0,4000.0,4000.0,4000.0
House of Character,West,Mdina,2.0,1,3.0,,,3900.0,3900.0,3900.0
Villa,Central,Mosta,4.0,5,3.0,0.0,0.0,2300.0,7000.0,3900.0
Penthouse,North,Saint Paul's Bay,4.0,2,3.5,0.0,0.0,1800.0,6000.0,3900.0
Block of Apartments,East,Msida,2.0,2,2.0,0.0,0.0,2795.0,5000.0,3897.5
Villa,North,Mellieha,4.0,20,3.0,0.0,0.0,1500.0,7000.0,3850.0
Bungalow Semi-Detached,East,Madliena,5.0,1,3.0,0.0,0.0,3800.0,3800.0,3800.0
Bungalow,East,Bahar Ic-Caghaq,3.0,3,3.0,0.0,0.0,1300.0,4500.0,3800.0
Villa Semi-Detached,East,Madliena,5.0,4,3.5,0.0,0.0,3300.0,5500.0,3800.0
Bungalow,North,Mellieha,5.0,3,4.0,0.0,0.0,2900.0,4000.0,3800.0
Villa,North,Mellieha,6.0,3,4.0,,,3500.0,4500.0,3800.0
Villa Semi-Detached,East,Swieqi,4.0,27,3.0,0.0,0.0,1800.0,6000.0,3800.0
Block of Apartments,South,Marsaskala,7.0,1,7.0,,,3750.0,3750.0,3750.0
Villa Semi-Detached,North,Mellieha,3.0,10,3.0,0.0,0.0,1800.0,4500.0,3750.0
Villa,North,Saint Paul's Bay,3.0,2,2.0,,,1600.0,5900.0,3750.0
Apartment,South,Kalkara,5.0,4,5.0,,,3700.0,3800.0,3750.0
Bungalow,South,Paola,4.0,2,4.0,0.0,0.0,3000.0,4500.0,3750.0
House of Character,North,Mgarr,3.0,8,3.0,0.0,0.0,1200.0,4200.0,3750.0
Villa Semi-Detached,East,Madliena,4.0,7,3.0,0.0,0.0,3500.0,5500.0,3750.0
Villa Semi-Detached,East,Kappara,5.0,2,3.5,0.0,0.0,3500.0,4000.0,3750.0
Villa,North,Manikata,3.0,1,4.0,,,3725.0,3725.0,3725.0
Villa,East,Madliena,3.0,18,3.0,0.0,0.0,1500.0,8000.0,3700.0
Villa,East,Swieqi,3.0,30,3.0,0.0,0.0,1800.0,7800.0,3700.0
Villa Semi-Detached,East,Madliena,3.0,20,3.0,0.0,0.0,2400.0,5000.0,3700.0
Block of Apartments,South,Zurrieq,3.0,1,2.0,0.0,0.0,3700.0,3700.0,3700.0
Bungalow,East,Madliena,3.0,6,2.0,0.0,0.0,2750.0,3800.0,3650.0
Villa,East,Ta' Xbiex,3.0,2,3.5,,,1800.0,5500.0,3650.0
Palazzo,East,Valletta,7.0,1,5.0,0.0,0.0,3600.0,3600.0,3600.0
House of Character,North,Bidnija,3.0,3,2.0,,,2300.0,4500.0,3500.0
Guesthouse,East,Kappara,7.0,1,8.0,,,3500.0,3500.0,3500.0
Villa,South,Marsaskala,4.0,1,3.0,,,3500.0,3500.0,3500.0
House of Character,South,Zejtun,3.0,12,3.0,0.0,0.0,830.0,42000.0,3500.0
Bungalow,North,Mellieha,6.0,3,5.0,,,3500.0,4500.0,3500.0
House of Character,South,Zejtun,5.0,1,6.0,0.0,0.0,3500.0,3500.0,3500.0
Villa Semi-Detached,West,Rabat,6.0,1,3.0,0.0,0.0,3500.0,3500.0,3500.0
Apartment,North,Saint Paul's Bay,5.0,1,4.0,0.0,0.0,3500.0,3500.0,3500.0
Bungalow Semi-Detached,East,Madliena,4.0,1,2.0,,,3500.0,3500.0,3500.0
House of Character,West,Siggiewi,4.0,3,3.0,,,1800.0,4200.0,3500.0
Farmhouse,North,Saint Paul's Bay,3.0,11,3.0,0.0,0.0,1300.0,4000.0,3500.0
Villa,Gozo,Gozo - Kercem,6.0,1,4.0,0.0,0.0,3500.0,3500.0,3500.0
Villa,North,Mellieha,3.0,23,3.0,0.0,0.0,1600.0,7500.0,3500.0
Villa,Central,Balzan,6.0,3,4.0,0.0,0.0,3500.0,7500.0,3500.0
Palazzo,East,Valletta,12.0,1,,,,3500.0,3500.0,3500.0
Villa Semi-Detached,East,Msida,4.0,1,2.0,,,3500.0,3500.0,3500.0
Apartment,Gozo,Gozo - San Lawrenz,1.0,1,2.0,,,3500.0,3500.0,3500.0
Villa,Central,Lija,4.0,3,3.0,0.0,0.0,1800.0,5000.0,3500.0
House of Character,Central,Birkirkara,3.0,16,2.0,0.0,0.0,1300.0,6500.0,3500.0
Villa Semi-Detached,Central,Naxxar,3.0,29,2.0,0.0,0.0,1900.0,6000.0,3500.0
Villa Semi-Detached,Central,Naxxar,2.0,1,3.0,0.0,0.0,3500.0,3500.0,3500.0
Apartment,South,Birgu,4.0,1,4.0,0.0,0.0,3500.0,3500.0,3500.0
Farmhouse,West,Siggiewi,4.0,1,7.0,,,3500.0,3500.0,3500.0
Penthouse,East,Floriana,2.0,3,2.0,0.0,0.0,1850.0,3500.0,3500.0
Penthouse,East,Floriana,3.0,1,3.0,,,3500.0,3500.0,3500.0
Palazzo,East,Sliema,4.0,1,5.0,0.0,0.0,3500.0,3500.0,3500.0
House of Character,East,Maghtab,3.0,1,2.0,,,3500.0,3500.0,3500.0
Villa,Central,Naxxar,3.0,14,3.0,0.0,0.0,1600.0,7000.0,3500.0
Bungalow,North,Burmarrad,2.0,1,1.0,0.0,0.0,3500.0,3500.0,3500.0
Bungalow,North,Mellieha,3.0,22,2.0,0.0,0.0,1700.0,4500.0,3500.0
