Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Apartment,Gozo - San Lawrenz,3.0,10,5,3.0,2.0,175.0,0.0,46.0,0.0,240000,750000,404500.0,35,1500,727.0,101125.0,303375.0,17422.18,1451.85,36.35,36.35,72.7,-10442.98,-870.25,-0.1,-9.68,-29.05,-38.73
Townhouse,Santa Venera,4.0,3,4,3.0,3.5,257.5,0.0,21.5,0.0,370000,800000,558333.33,800,1250,1062.5,139583.33,418750.0,24047.92,2003.99,53.12,53.12,106.25,-13847.92,-1153.99,-0.1,-10.08,-30.24,-40.32
Penthouse,Dingli,2.0,4,3,2.0,2.0,73.0,0.0,32.0,0.0,255000,691000,424000.0,800,850,833.33,106000.0,318000.0,18262.06,1521.84,41.67,41.67,83.33,-10262.09,-855.17,-0.1,-10.33,-30.99,-41.32
Terraced House,Birzebbuga,4.0,3,5,3.0,2.5,250.0,0.0,70.0,0.0,565000,750000,633333.33,1200,1400,1240.0,158333.33,475000.0,27278.24,2273.19,62.0,62.0,124.0,-15374.24,-1281.19,-0.1,-10.3,-30.9,-41.19
House of Character,Cospicua,3.0,4,3,3.0,3.0,142.5,,12.0,,235000,750000,588750.0,800,1450,1150.0,147187.5,441562.5,25357.99,2113.17,57.5,57.5,115.0,-14317.99,-1193.17,-0.1,-10.28,-30.84,-41.12
House of Character,Gozo - Ghasri,5.0,5,3,6.0,6.0,247.5,0.0,222.0,0.0,598000,698000,657400.0,700,1400,1166.67,164350.0,493050.0,28314.81,2359.57,58.33,58.33,116.67,-17114.78,-1426.23,-0.1,-9.6,-28.81,-38.41
Terraced House,Mellieha,3.0,8,13,2.5,2.0,209.0,0.0,35.0,0.0,595000,799000,667500.0,800,1800,1223.08,166875.0,500625.0,28749.83,2395.82,61.15,61.15,122.31,-17008.26,-1417.35,-0.1,-9.81,-29.43,-39.25
House of Character,Gozo - Nadur,3.0,4,6,3.0,2.0,120.0,0.0,62.0,0.0,345000,800000,592500.0,650,1500,1158.33,148125.0,444375.0,25519.51,2126.63,57.92,57.92,115.83,-14399.54,-1199.96,-0.1,-10.29,-30.86,-41.15
Townhouse,Gozo - Victoria,3.0,6,6,2.0,2.0,167.5,0.0,4.0,0.0,192000,495000,371166.67,575,800,687.5,92791.67,278375.0,15986.48,1332.21,34.38,34.38,68.75,-9386.48,-782.21,-0.1,-9.89,-29.66,-39.54
Penthouse,Mgarr,2.0,35,25,2.0,2.0,100.0,0.0,36.5,0.0,339000,755000,522034.29,650,1500,1028.0,130508.57,391525.72,22484.49,1873.71,51.4,51.4,102.8,-12615.69,-1051.31,-0.1,-10.34,-31.03,-41.38
Apartment,Mgarr,4.0,6,4,3.5,2.5,,0.0,,0.0,527000,574500,550666.67,750,1200,1037.5,137666.67,413000.0,23717.71,1976.48,51.88,51.88,103.75,-13757.71,-1146.48,-0.1,-10.01,-30.02,-40.03
Maisonette Duplex,Balzan,3.0,4,6,2.5,3.0,,0.0,,0.0,450000,720000,613500.0,950,1500,1200.0,153375.0,460125.0,26424.0,2202.0,60.0,60.0,120.0,-14904.0,-1242.0,-0.1,-10.29,-30.87,-41.16
Terraced House,Marsaskala,3.0,9,15,2.0,2.0,177.5,0.0,22.5,0.0,561000,745000,682777.78,600,2000,1256.67,170694.44,512083.34,29407.86,2450.65,62.83,62.83,125.67,-17343.82,-1445.32,-0.1,-9.84,-29.53,-39.37
Terraced House,Marsaskala,4.0,4,3,3.0,3.0,220.0,0.0,50.0,0.0,670000,675000,673750.0,900,1300,1066.67,168437.5,505312.5,29019.02,2418.25,53.33,53.33,106.67,-18778.99,-1564.92,-0.11,-8.97,-26.91,-35.88
Terraced House,Mgarr,3.0,6,11,2.0,2.0,180.0,0.0,80.0,0.0,585000,797000,655333.33,800,1500,1140.91,163833.33,491500.0,28225.8,2352.15,57.05,57.05,114.09,-17273.06,-1439.42,-0.11,-9.48,-28.45,-37.94
Terraced House,Gozo - Victoria,4.0,4,4,4.0,2.5,183.0,0.0,153.5,0.0,575000,750000,618750.0,695,1300,1011.25,154687.5,464062.5,26650.12,2220.84,50.56,50.56,101.12,-16942.12,-1411.84,-0.11,-9.13,-27.39,-36.52
House of Character,Gozo - Xewkija,3.0,4,5,1.0,2.0,146.0,0.0,43.0,0.0,425000,680000,513750.0,575,1000,815.0,128437.5,385312.5,22127.68,1843.97,40.75,40.75,81.5,-14303.68,-1191.97,-0.11,-8.98,-26.94,-35.92
Penthouse,Mtarfa,2.0,5,3,2.0,2.0,86.0,0.0,92.0,0.0,455000,479000,473400.0,750,900,816.67,118350.0,355050.0,20389.77,1699.15,40.83,40.83,81.67,-12549.73,-1045.81,-0.11,-9.43,-28.29,-37.72
Farmhouse,Gozo - Sannat,4.0,3,5,5.0,3.5,150.0,0.0,55.0,0.0,565000,650000,621666.67,140,1250,958.0,155416.67,466250.0,26775.75,2231.31,47.9,47.9,95.8,-17578.95,-1464.91,-0.11,-8.84,-26.52,-35.36
Penthouse,Gudja,3.0,7,3,2.0,2.0,145.0,0.0,50.0,0.0,424000,583000,537714.29,650,1000,850.0,134428.57,403285.72,23159.84,1929.99,42.5,42.5,85.0,-14999.84,-1249.99,-0.11,-8.96,-26.89,-35.85
Terraced House,Luqa,3.0,10,4,2.0,2.0,219.0,0.0,35.0,0.0,520000,743000,643800.0,600,1000,850.0,160950.0,482850.0,27729.05,2310.75,42.5,42.5,85.0,-19569.05,-1630.75,-0.12,-8.22,-24.67,-32.9
Terraced House,Siggiewi,3.0,3,3,2.0,2.0,244.0,0.0,40.0,0.0,659000,690000,679666.67,850,950,883.33,169916.67,509750.0,29273.86,2439.49,44.17,44.17,88.33,-20793.89,-1732.82,-0.12,-8.17,-24.51,-32.69
Terraced House,Birzebbuga,3.0,4,4,2.5,2.0,181.5,0.0,57.5,0.0,510000,700000,610500.0,700,1100,875.0,152625.0,457875.0,26294.79,2191.23,43.75,43.75,87.5,-17894.79,-1491.23,-0.12,-8.53,-25.59,-34.12
Townhouse,Dingli,3.0,10,3,2.0,2.0,154.5,0.0,23.0,0.0,540000,775000,686400.0,790,800,796.67,171600.0,514800.0,29563.87,2463.66,39.83,39.83,79.67,-21915.84,-1826.32,-0.13,-7.83,-23.49,-31.32
Maisonette,Marsaskala,4.0,6,3,2.5,1.0,151.0,0.0,116.0,0.0,390000,650000,572500.0,260,750,536.67,143125.0,429375.0,24658.09,2054.84,26.83,26.83,53.67,-19506.06,-1625.51,-0.14,-7.34,-22.01,-29.35
