Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Townhouse,Birkirkara,3.0,51,11,2.0,2.0,130.0,0.0,20.0,0.0,199000,800000,449803.92,700,2000,1354.55,112450.98,337352.94,19373.46,1614.46,67.73,67.73,135.46,-6369.78,-530.82,-0.06,-17.65,-52.96,-70.62
Penthouse,Mellieha,1.0,15,29,1.0,1.0,66.5,0.0,35.5,0.0,215000,420000,328066.67,600,1500,917.59,82016.67,246050.0,14130.13,1177.51,45.88,45.88,91.76,-5321.26,-443.44,-0.06,-15.41,-46.24,-61.65
Townhouse,Cospicua,2.0,31,8,2.0,2.0,112.0,0.0,16.0,0.0,181000,584000,370548.39,700,1900,1062.5,92637.1,277911.29,15959.85,1329.99,53.12,53.12,106.25,-5759.85,-479.99,-0.06,-16.08,-48.25,-64.33
Townhouse,Cospicua,3.0,43,10,2.0,2.0,130.0,0.0,11.0,0.0,175000,650000,444000.0,800,1800,1278.0,111000.0,333000.0,19123.48,1593.62,63.9,63.9,127.8,-6854.68,-571.22,-0.06,-16.19,-48.58,-64.77
Penthouse,Safi,2.0,6,3,2.0,1.0,99.0,0.0,34.0,0.0,245000,495000,317833.33,850,1000,916.67,79458.33,238375.0,13689.37,1140.78,45.83,45.83,91.67,-4889.34,-407.44,-0.06,-16.25,-48.75,-65.01
Penthouse,Marsaxlokk,2.0,32,15,2.0,2.0,98.5,0.0,58.5,0.0,250000,495000,346296.88,650,1500,1036.67,86574.22,259722.66,14915.32,1242.94,51.83,51.83,103.67,-4963.29,-413.61,-0.06,-17.44,-52.33,-69.77
Penthouse,Marsaskala,4.0,5,4,3.0,3.0,150.0,85.0,50.0,65.0,400000,532000,504400.0,800,1950,1512.5,126100.0,378300.0,21724.96,1810.41,75.62,75.62,151.25,-7204.96,-600.41,-0.06,-17.5,-52.51,-70.01
Penthouse,Kirkop,3.0,4,6,2.0,2.0,145.0,0.0,45.0,0.0,335000,405000,375000.0,850,1400,1108.33,93750.0,281250.0,16151.59,1345.97,55.42,55.42,110.83,-5511.62,-459.3,-0.06,-17.01,-51.03,-68.04
Penthouse,Marsaskala,2.0,64,97,2.0,2.0,88.0,0.0,35.0,0.0,235000,480000,345806.25,600,2000,1006.24,86451.56,259354.69,14894.19,1241.18,50.31,50.31,100.62,-5234.28,-436.19,-0.06,-16.52,-49.55,-66.07
Penthouse,Madliena,3.0,3,10,3.0,2.0,153.0,0.0,74.0,0.0,730000,795000,765000.0,1400,3500,2290.0,191250.0,573750.0,32949.24,2745.77,114.5,114.5,229.0,-10965.24,-913.77,-0.06,-17.44,-52.32,-69.77
Townhouse,Birgu,2.0,15,8,2.0,2.0,36.5,0.0,4.5,0.0,275000,550000,401166.67,900,1500,1162.5,100291.67,300875.0,17278.61,1439.88,58.12,58.12,116.25,-6118.61,-509.88,-0.06,-16.39,-49.17,-65.56
Townhouse,Zurrieq,2.0,4,3,1.5,2.0,100.5,0.0,16.0,0.0,234000,403000,337250.0,650,1400,1016.67,84312.5,252937.5,14525.66,1210.47,50.83,50.83,101.67,-4765.63,-397.14,-0.06,-17.69,-53.08,-70.77
Maisonette,Gharghur,2.0,14,20,1.5,2.0,80.0,0.0,26.0,0.0,234000,399000,332071.43,700,1200,1000.75,83017.86,249053.57,14302.62,1191.88,50.04,50.04,100.08,-4695.42,-391.28,-0.06,-17.68,-53.04,-70.72
Maisonette,Mgarr,2.0,8,13,2.0,1.0,83.5,0.0,8.5,0.0,250000,349000,275562.5,600,1000,776.92,68890.62,206671.88,11868.73,989.06,38.85,38.85,77.69,-4410.29,-367.52,-0.06,-15.62,-46.86,-62.48
Maisonette Duplex,Valletta,1.0,3,16,1.0,1.0,84.0,0.0,0.0,0.0,220000,420000,323333.33,100,1800,965.62,80833.33,242500.0,13926.26,1160.52,48.28,48.28,96.56,-4656.31,-388.03,-0.06,-17.36,-52.08,-69.44
Maisonette Duplex,Swieqi,3.0,10,12,3.0,2.0,0.0,0.0,31.0,0.0,382500,680000,574750.0,1000,2250,1612.5,143687.5,431062.5,24755.0,2062.92,80.62,80.62,161.25,-9275.0,-772.92,-0.06,-15.49,-46.48,-61.97
Maisonette Duplex,Bugibba,3.0,3,3,3.0,2.0,136.0,0.0,30.0,0.0,290000,340000,306666.67,700,1000,900.0,76666.67,230000.0,13208.41,1100.7,45.0,45.0,90.0,-4568.41,-380.7,-0.06,-16.78,-50.35,-67.13
Maisonette,Marsaskala,2.0,38,70,2.0,2.0,102.0,0.0,32.0,0.0,180000,372000,262394.74,42,1500,780.53,65598.68,196796.06,11301.58,941.8,39.03,39.03,78.05,-3808.49,-317.37,-0.06,-17.22,-51.67,-68.9
Maisonette,Birzebbuga,1.0,4,13,1.0,1.0,,0.0,,0.0,161000,250000,207750.0,550,775,618.08,51937.5,155812.5,8947.98,745.67,30.9,30.9,61.81,-3014.41,-251.2,-0.06,-17.23,-51.69,-68.92
Maisonette,Birkirkara,4.0,3,10,2.0,3.0,95.0,0.0,20.0,0.0,271000,477000,391000.0,900,1400,1147.5,97750.0,293250.0,16840.72,1403.39,57.38,57.38,114.75,-5824.72,-485.39,-0.06,-16.78,-50.35,-67.13
Maisonette,Zebbug,3.0,32,51,2.0,2.0,110.0,0.0,20.5,0.0,250000,450000,354171.88,700,1200,1001.96,88542.97,265628.91,15254.5,1271.21,50.1,50.1,100.2,-5635.69,-469.64,-0.06,-15.71,-47.13,-62.84
