Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Ben Estate,BLAPT119819,Gozo - Marsalforn,Apartment,,,,3,2,120.00,,,850
False,Ben Estate,BLPTH119801,L'Iklin,Penthouse,,,,1,2,,,,990
False,Ben Estate,BLPTH119799,L'Iklin,Penthouse,,,,2,2,,,,1350
False,Ben Estate,BLAPT119793,Msida,Apartment,,,,2,2,70.00,,,800
False,Ben Estate,BLAPT119785,Msida,Apartment,,,,2,2,1.00,,,900
False,Ben Estate,BLAPT119781,Mellieha,Apartment,,,,3,2,95.00,,,950
False,Ben Estate,BLPTH119753,Naxxar,Penthouse,,,,3,2,1365.00,,,1425
False,Ben Estate,BLMSN119739,Valletta,Maisonette,,,,1,1,125.00,,,600
False,Ben Estate,BLAPT119737,Valletta,Apartment,,,,1,3,125.00,,,1700
False,Ben Estate,BLAPT119715,Qajjenza,Apartment,,,,2,1,,,,650
False,Ben Estate,BLDPM119713,Zurrieq,Duplex Maisonette,,,,2,3,1.00,,,750
False,Ben Estate,BLEGFM119691,Gharghur,Elevated Ground Floor Maisonette,,,,2,2,1.00,,,1000
False,Ben Estate,BLAPT119687,Zabbar,Apartment,,,,3,2,1.00,,,900
False,Ben Estate,BLAPT119657,Swieqi,Apartment,,,,2,2,1.00,,,1100
False,Ben Estate,BLGFM119655,Marsascala,Ground Floor Maisonette,,,,2,1,1.00,,,750
False,Ben Estate,BLAPT119653,Marsascala,Apartment,,,,2,1,,,,850
False,Ben Estate,BLMSN119647,Marsa,Maisonette,,,,2,2,,,,700
False,Ben Estate,BLFFM119641,Mellieha,First Floor Maisonette,,,,1,1,1.00,,,700
False,Ben Estate,BLAPT119637,Sliema,Apartment,,,,2,1,,,,1350
False,Ben Estate,BLAPT119635,Sliema,Apartment,,,,2,1,,,,1350
False,Ben Estate,BLAPT119631,San Gwann,Apartment,,,,2,2,1.00,,,800
False,Ben Estate,BLTWC119629,Rabat,Town House,,,,2,2,1.00,,,650
False,Ben Estate,BLC4C119627,St. Julians,Commercial Class 4,,,,1,,1.00,,,250
False,Ben Estate,BLPTH119625,Naxxar,Penthouse,,,,2,2,1.00,,,1000
False,Ben Estate,BLAPT119623,Gzira,Apartment,,,,1,1,,,,700
False,Ben Estate,BLAPT119621,Naxxar,Apartment,,,,1,1,1.00,,,700
False,Ben Estate,BLAPT119619,Gzira,Apartment,,,,1,1,,,,650
False,Ben Estate,BLMSN119615,Mosta,Maisonette,,,,3,2,165.00,,,1200
False,Ben Estate,BLMSN119603,Mosta,Maisonette,,,,3,2,160.00,,,1200
False,Ben Estate,BLAPT119601,Blata l'Bajda,Apartment,,,,3,2,87.00,,,900
False,Ben Estate,BLAPT119591,Blata l'Bajda,Apartment,,,,3,2,90.00,,,900
False,Ben Estate,BLAPT119588,Blata l'Bajda,Apartment,,,,3,2,90.00,,,900
False,Ben Estate,BLPTH119580,Fgura,Penthouse,,,,2,1,,,,650
False,Ben Estate,BLAPT119568,Mensija,Apartment,,,,1,1,55.00,,,900
False,Ben Estate,BLAPT119558,Naxxar,Apartment,,,,2,2,1.00,,,850
False,Ben Estate,BLPTH119526,Qawra,Penthouse,,,,3,2,1.00,,,1300
False,Ben Estate,BLAPT119522,Ta' Xbiex,Apartment,,,,3,3,,,,1300
False,Ben Estate,BLAPT119520,San Gwann,Apartment,,,,2,2,1.00,,,950
False,Ben Estate,BLAPT119518,Msida,Apartment,,,,4,2,,,,1275
False,Ben Estate,BLAPT119516,L'Iklin,Apartment,,,,2,2,,,,950
