Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
TRUE,Belair,306536,St Julians,Apartment,,,3,3,175,,,465000
TRUE,Belair,306750,Attard,Penthouse,,,3,2,152,,,476000
TRUE,Belair,505146,Gharghur,Apartment,,,3,2,108,,,477000
TRUE,Belair,802062,Sliema,Apartment,,,2,1,83,,,485000
TRUE,Belair,803227,Zejtun,Terraced House,,,4,3,93,,,489000
TRUE,Belair,306174,Mellieha,Terraced House,,,2,2,75,,,490000
TRUE,Belair,700706,Gharghur,Duplex Maisonette,,,3,3,172,,,490000
TRUE,Belair,505062,Sliema,Penthouse,,,2,1,130,,,490000
TRUE,Belair,504597,Sliema,Apartment,,,3,2,117,,,495000
TRUE,Belair,306914,St Julians,Apartment,,,3,3,186,,,495000
TRUE,Belair,504080,Valletta,Apartment,,,3,2,114,,,495000
TRUE,Belair,504450,Pembroke,Apartment,,,3,2,177,,,495000
TRUE,Belair,137459,Mosta,Ground Floor Maisonette,,,3,2,204,,,497500
TRUE,Belair,802305,Mellieha,Apartment,,,2,1,99,,,498000
TRUE,Belair,802304,Mellieha,Apartment,,,2,1,99,,,498000
TRUE,Belair,307928,Birkirkara,House of Character,,,3,2,129,,,498000
TRUE,Belair,504812,Msida,Townhouse,,,4,2,105,,,499000
TRUE,Belair,503220,Cospicua (Bormla),Townhouse,,,6,6,70,,,525000
TRUE,Belair,504161,"St Julians, Mercury House",Apartment,,,1,1,61,,,530000
TRUE,Belair,504161,"St Julians, Mercury House",Apartment,,,1,1,61,,,530000
TRUE,Belair,800358,Mellieha,House of Character,,,3,3,180,,,535000
TRUE,Belair,306915,St Julians,Apartment,,,3,3,186,,,545000
TRUE,Belair,501489,Naxxar,House of Character,,,3,3,90,,,550000
TRUE,Belair,503658,St Julians,Duplex Penthouse,,,3,2,166,,,550000
TRUE,Belair,133721,St Julians,Apartment,,,1,2,102,,,550000
TRUE,Belair,505066,"St. Julians, Portomaso",Duplex Apartment,,,2,2,135,,,550000
TRUE,Belair,307569,Sliema,Independent Offices,,,,,175,,,560000
TRUE,Belair,504164,Sliema,Penthouse,,,2,2,140,,,560000
TRUE,Belair,701652,Lija,House of Character,,,4,2,150,,,585000
TRUE,Belair,701802,St Julians,Penthouse,,,3,2,140,,,590000
TRUE,Belair,701826,"St Julians, Mercury House",Apartment,,,1,1,61,,,590000
TRUE,Belair,307731,Sliema,Apartment,,,2,2,133,,,595000
TRUE,Belair,307733,Senglea (L-Isla),Townhouse,,,2,2,52,,,595000
TRUE,Belair,306916,St Julians,Apartment,,,3,3,186,,,595000
TRUE,Belair,800073,Mellieha,Terraced House,,,3,2,155,,,595000
TRUE,Belair,504680,St Julians,Apartment,,,3,3,123,,,599000
TRUE,Belair,306587,Sliema,Independent Offices,,,,,145,,,600000
TRUE,Belair,505426,Valletta,Apartment,,,1,1,60,,,604000
TRUE,Belair,304730,Sliema,Duplex Penthouse,,,3,4,145,,,620000
TRUE,Belair,801388,Swieqi,Apartment,,,4,2,175,,,635000
TRUE,Belair,500962,Birkirkara,Townhouse,,,3,2,395,,,640000
TRUE,Belair,505385,Sliema,Apartment,,,3,2,200,,,640000
TRUE,Belair,503397,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503398,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,701091,Mosta,House of Character,,,3,2,168,,,650000
TRUE,Belair,503400,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503393,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503402,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503399,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503394,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503396,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503401,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,503395,Attard,Terraced House,,,3,2,110,,,650000
TRUE,Belair,137391,Gharghur,Semi-detached Bungalow,,,3,3,195,,,675000
TRUE,Belair,503413,Attard,Terraced House,,,3,2,110,,,680000
TRUE,Belair,306170,Swieqi,Apartment,,,3,2,222,,,680000
TRUE,Belair,701831,"St Julians, Pender Gardens",Apartment,,,2,2,141,,,690000
TRUE,Belair,19606,St Julians,Penthouse,,,3,2,160,,,690000
TRUE,Belair,505181,Zebbug,House of Character,,,5,1,178,,,695000
TRUE,Belair,307309,Vittoriosa (Birgu),Terraced House,,,3,2,65,,,695000
TRUE,Belair,700950,Gzira,Penthouse,,,3,2,207,,,735000
TRUE,Belair,701381,"Sliema, Fort Cambridge",Apartment,,,2,2,155,,,739000
TRUE,Belair,307844,Mgarr,Terraced House,,,4,2,280,,,740000
TRUE,Belair,504581,Siggiewi,Townhouse,,,4,2,220,,,742000
TRUE,Belair,700702,Senglea (L-Isla),Townhouse,,,3,3,80,,,750000
TRUE,Belair,802271,Sliema,Apartment,,,2,2,115,,,750000
TRUE,Belair,501168,Kalkara,Duplex Apartment,,,2,3,125,,,750000
TRUE,Belair,802271,Sliema,Apartment,,,2,2,115,,,750000
TRUE,Belair,801968,Zurrieq,House of Character,,,5,2,90,,,750000
TRUE,Belair,135949,Mellieha,Penthouse,,,3,3,199,,,755000
TRUE,Belair,505333,Madliena,Duplex Penthouse,,,3,4,250,,,770000
TRUE,Belair,802273,Sliema,Apartment,,,2,2,115,,,775000
TRUE,Belair,700253,Balzan,Townhouse,,,3,4,200,,,795000
TRUE,Belair,307729,Sliema,Apartment,,,2,2,115,,,850000
TRUE,Belair,503194,Kappara,Semi-detached Villa,,,3,2,180,,,850000
TRUE,Belair,503237,Bahar Ic-Caghaq,Duplex Penthouse,,,3,2,240,,,850000
TRUE,Belair,500959,Xemxija,Penthouse,,,3,2,200,,,850000
