Type,Province,Town,Bedrooms,Stage,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Penthouse,Central,Mosta,3.0,Plan,27,2.0,127.5,35.0,400000.0,750000.0,446000.0
Penthouse,South,Marsaxlokk,3.0,Plan,21,2.0,62.0,33.0,400000.0,546000.0,446000.0
Townhouse,South,Zabbar,3.0,Unclassified,7,2.0,145.0,88.5,296000.0,585000.0,446000.0
House of Character,Central,Qormi,3.0,Finished,8,2.0,192.0,28.0,365000.0,997000.0,446000.0
Penthouse,Central,Mosta,3.0,Furnished,3,2.0,120.0,30.0,405000.0,520000.0,445000.0
Townhouse,South,Luqa,4.0,Unclassified,3,2.0,150.0,48.0,408000.0,595000.0,445000.0
Penthouse,North,Qawra,3.0,Plan,5,2.0,132.5,55.5,430000.0,560000.0,445000.0
Penthouse,East,Bahar Ic-Caghaq,2.0,Furnished,3,2.0,110.0,,330000.0,445000.0,445000.0
Townhouse,Central,Qormi,3.0,Finished,9,2.0,120.0,44.0,295000.0,960000.0,445000.0
Townhouse,South,Senglea,3.0,Furnished,13,2.0,115.0,19.0,266000.0,900000.0,445000.0
Penthouse Duplex,South,Marsaskala,3.0,Unclassified,4,2.5,,,360000.0,510000.0,442500.0
Maisonette Duplex,East,Saint Julian's,3.0,Unclassified,2,2.0,109.0,68.5,410000.0,475000.0,442500.0
Maisonette Duplex,East,Sliema,1.0,Unclassified,2,2.0,65.5,33.5,298000.0,585000.0,441500.0
Penthouse,South,Xghajra,2.0,Finished,3,2.0,100.0,60.0,342000.0,630000.0,440000.0
Townhouse,South,Ghaxaq,3.0,Unclassified,3,2.0,250.0,25.0,381000.0,1050000.0,440000.0
Penthouse,East,Gharghur,2.0,Finished,2,2.0,,,440000.0,440000.0,440000.0
House of Character,West,Rabat,3.0,Furnished,9,2.0,102.0,11.0,215000.0,958000.0,440000.0
Penthouse,East,Sliema,1.0,Finished,8,1.0,60.5,51.0,375000.0,738000.0,437500.0
Maisonette Duplex,Central,Birkirkara,3.0,Unclassified,2,2.0,159.5,8.0,425000.0,450000.0,437500.0
Penthouse,South,Marsaskala,3.0,Furnished,2,2.5,,,375000.0,500000.0,437500.0
Penthouse,Central,Attard,3.0,Furnished,6,2.0,130.0,38.0,400000.0,690000.0,437500.0
Penthouse,Central,Balzan,3.0,Plan,18,3.0,144.0,42.0,360000.0,625000.0,435500.0
Penthouse,Central,Iklin,3.0,Plan,4,2.0,110.5,35.5,420000.0,629000.0,435500.0
Townhouse,South,Cospicua,4.0,Unclassified,2,2.0,90.0,,425000.0,445000.0,435000.0
Penthouse,Central,Balzan,3.0,Shell,7,3.0,,,360000.0,476000.0,433000.0
Penthouse,East,Saint Julian's,2.0,Shell,2,2.0,80.0,74.0,285000.0,580000.0,432500.0
Penthouse,Gozo,Gozo - Qala,3.0,Plan,2,2.0,105.5,43.5,370000.0,490000.0,430000.0
Apartment,East,Sliema,3.0,Finished,73,2.0,111.0,5.0,315000.0,595000.0,430000.0
Maisonette,North,Mellieha,3.0,Furnished,280,2.0,101.5,32.0,300000.0,430000.0,430000.0
Apartment,East,Sliema,3.0,Furnished,44,2.0,106.5,9.0,287000.0,595000.0,430000.0
House of Character,West,Zebbug,4.0,Unclassified,2,2.5,175.0,20.0,165000.0,695000.0,430000.0
Townhouse,Central,Qormi,4.0,Unclassified,5,2.0,108.5,18.5,365000.0,550000.0,430000.0
Townhouse,South,Senglea,3.0,Unclassified,9,2.0,190.0,18.0,289000.0,550000.0,430000.0
Townhouse,East,Msida,2.0,Furnished,2,2.0,,,430000.0,430000.0,430000.0
Maisonette,Central,Balzan,3.0,Furnished,2,2.0,110.0,35.0,425000.0,430000.0,427500.0
Maisonette Duplex,East,Msida,3.0,Unclassified,2,3.5,,,405000.0,450000.0,427500.0
House of Character,Central,Birkirkara,3.0,Finished,2,2.0,140.0,15.0,325000.0,530000.0,427500.0
Apartment,East,Swieqi,4.0,Finished,10,2.0,0.0,14.0,395000.0,471000.0,426000.0
Townhouse,South,Birzebbuga,3.0,Unclassified,3,2.0,130.0,23.0,410000.0,425000.0,425000.0
Townhouse,South,Zejtun,2.0,Unclassified,8,2.0,70.0,5.0,198000.0,950000.0,425000.0
Townhouse,South,Cospicua,3.0,Unclassified,18,2.0,190.0,14.0,225000.0,639000.0,425000.0
Maisonette Duplex,South,Tarxien,3.0,Furnished,2,3.0,216.0,20.0,425000.0,425000.0,425000.0
Townhouse,South,Luqa,2.0,Unclassified,3,1.0,118.0,24.0,335000.0,520000.0,425000.0
Penthouse,East,Sliema,1.0,Plan,2,1.0,61.0,30.0,375000.0,475000.0,425000.0
Penthouse,East,Gzira,3.0,Plan,3,2.0,145.0,86.0,425000.0,700000.0,425000.0
Apartment,South,Senglea,3.0,Plan,3,3.0,139.0,6.0,425000.0,425000.0,425000.0
Apartment,East,Saint Julian's,3.0,Finished,59,2.0,134.0,17.5,275000.0,600000.0,425000.0
Penthouse,East,San Gwann,3.0,Furnished,2,2.0,106.0,22.0,425000.0,425000.0,425000.0
Penthouse,North,Mellieha,2.0,Finished,32,2.0,102.0,36.0,309000.0,750000.0,425000.0
Apartment,East,Swieqi,2.0,Furnished,5,2.0,,,286500.0,425000.0,425000.0
Apartment,East,Swieqi,3.0,Unclassified,32,2.0,119.5,11.0,310000.0,570000.0,425000.0
Townhouse,Central,Birkirkara,3.0,Finished,10,2.0,76.0,31.0,287000.0,617000.0,424500.0
Penthouse,West,Zebbug,3.0,Plan,14,2.0,119.5,27.5,347000.0,477000.0,423000.0
Penthouse,Gozo,Gozo - Victoria,3.0,Shell,2,2.5,175.0,125.0,345000.0,500000.0,422500.0
Penthouse,North,Mellieha,2.0,Unclassified,8,1.5,78.0,29.0,235000.0,480000.0,422000.0
Apartment,East,Saint Julian's,3.0,Furnished,34,2.0,130.0,10.0,295000.0,589000.0,421500.0
Maisonette,South,Birzebbuga,4.0,Furnished,2,3.0,192.0,57.0,415000.0,426000.0,420500.0
Apartment,East,Saint Julian's,4.0,Plan,2,2.0,0.0,24.0,420000.0,420000.0,420000.0
Penthouse,East,San Gwann,3.0,Unclassified,3,2.0,160.0,118.0,319000.0,715000.0,420000.0
Townhouse,Central,Qormi,3.0,Unclassified,16,2.0,163.5,15.0,245000.0,1063000.0,420000.0
Penthouse Duplex,North,Saint Paul's Bay,2.0,Plan,3,2.0,,,375000.0,585000.0,420000.0
Townhouse,South,Marsa,2.0,Finished,3,2.0,,,292000.0,598000.0,420000.0
Penthouse Duplex,North,Qawra,4.0,Unclassified,2,3.0,,,400000.0,440000.0,420000.0
Penthouse,Central,Qormi,3.0,Furnished,2,1.5,,,305000.0,531500.0,418250.0
Townhouse,West,Siggiewi,3.0,Finished,2,2.5,,,351000.0,485000.0,418000.0
Apartment,East,Pembroke,3.0,Finished,14,2.0,112.5,15.0,350000.0,495000.0,417500.0
Townhouse,Central,Birkirkara,3.0,Furnished,16,2.0,138.0,25.0,199000.0,800000.0,417285.0
Townhouse,Central,Hamrun,4.0,Furnished,3,3.0,,,320000.0,478000.0,415000.0
Penthouse,East,Swieqi,2.0,Shell,2,1.5,129.5,18.5,380000.0,450000.0,415000.0
Townhouse,Central,Qormi,3.0,Furnished,19,2.0,161.0,34.0,202000.0,900000.0,415000.0
House of Character,South,Zabbar,3.0,Unclassified,2,2.0,225.0,150.0,350000.0,478000.0,414000.0
Penthouse,Central,Mosta,2.0,Furnished,6,1.0,75.0,52.0,220000.0,485000.0,413500.0
Penthouse,West,Siggiewi,2.0,Furnished,2,2.0,65.0,85.0,405000.0,420000.0,412500.0
Penthouse,North,Burmarrad,3.0,Finished,6,2.0,,,301000.0,620000.0,412500.0
Penthouse,South,Birzebbuga,3.0,Unclassified,3,2.0,145.0,82.5,400000.0,470000.0,412000.0
Penthouse,Central,Mosta,3.0,Unclassified,18,2.0,113.0,37.0,345000.0,685000.0,412000.0
Apartment,East,Saint Julian's,1.0,Unclassified,18,1.0,58.0,8.0,180000.0,595000.0,411500.0
Apartment,East,Valletta,1.0,Shell,2,2.0,50.0,2.0,340000.0,480000.0,410000.0
Penthouse,Central,Birkirkara,3.0,Furnished,4,2.0,91.0,24.0,305000.0,489000.0,410000.0
Maisonette,Central,Balzan,3.0,Unclassified,3,2.0,125.0,32.0,270000.0,420000.0,410000.0
Apartment,East,Valletta,2.0,Furnished,6,2.0,140.0,,329000.0,600000.0,410000.0
Penthouse,East,Gzira,3.0,Finished,12,2.0,103.0,18.0,300000.0,565000.0,409375.0
Penthouse,Central,Attard,2.0,Finished,6,2.0,81.0,34.0,287000.0,425000.0,409000.0
Apartment,Gozo,Gozo - Qala,3.0,Furnished,2,2.5,129.0,26.5,330000.0,485000.0,407500.0
Penthouse,South,Marsaskala,3.0,Plan,16,2.0,110.0,33.0,350000.0,790000.0,405000.0
Penthouse,South,Marsaskala,3.0,Unclassified,10,2.0,61.0,39.0,370000.0,660000.0,405000.0
Townhouse,Central,Qormi,4.0,Furnished,5,3.0,119.0,21.0,365000.0,499000.0,405000.0
Maisonette,North,Mgarr,3.0,Furnished,3,2.0,,,405000.0,410000.0,405000.0
Penthouse,North,Saint Paul's Bay,2.0,Plan,8,2.0,76.0,43.0,260000.0,450000.0,405000.0
Apartment,South,Kalkara,2.0,Plan,42,2.0,106.0,9.0,250000.0,580000.0,405000.0
Penthouse,East,Saint Julian's,2.0,Finished,8,2.0,91.0,69.5,255000.0,691000.0,405000.0
Townhouse,Central,Mosta,1.0,Finished,2,1.0,,,223000.0,585000.0,404000.0
Penthouse,East,Gharghur,1.0,Finished,2,2.0,77.0,31.0,399000.0,409000.0,404000.0
Maisonette,East,San Gwann,3.0,Finished,3,2.0,,,370000.0,425000.0,403000.0
Maisonette,West,Siggiewi,3.0,Unclassified,5,2.0,110.5,35.5,260000.0,415000.0,403000.0
Apartment,East,Saint Julian's,1.0,Plan,46,1.0,52.5,8.0,200000.0,590000.0,402500.0
Apartment,East,Swieqi,4.0,Unclassified,8,2.0,145.0,15.0,330000.0,445000.0,402000.0
Penthouse,West,Siggiewi,2.0,Unclassified,2,2.0,78.0,30.0,380000.0,424000.0,402000.0
Penthouse Duplex,East,Bahar Ic-Caghaq,2.0,Finished,4,2.5,98.5,17.0,330000.0,463000.0,400000.0
Penthouse,North,Qawra,3.0,Finished,17,2.0,111.0,24.0,253000.0,795000.0,400000.0
Apartment Duplex,West,Zebbug,3.0,Finished,2,3.0,138.0,45.0,400000.0,400000.0,400000.0
Terraced House,Gozo,Gozo - Victoria,3.0,Plan,4,2.0,195.0,52.0,400000.0,960000.0,400000.0
Penthouse,Gozo,Gozo - San Lawrenz,2.0,Shell,2,2.5,116.5,43.0,400000.0,400000.0,400000.0
Townhouse,South,Tarxien,2.0,Unclassified,3,2.0,128.5,51.0,270000.0,675000.0,400000.0
Terraced House,Gozo,Gozo - Xaghra,3.0,Unclassified,10,3.0,179.0,45.0,350000.0,400000.0,400000.0
Terraced House,Gozo,Gozo - Xaghra,3.0,Shell,5,3.0,70.0,45.0,350000.0,448000.0,400000.0
Apartment,East,Sliema,3.0,Plan,27,2.0,104.0,14.0,345000.0,555000.0,400000.0
Penthouse,West,Rabat,3.0,Plan,12,2.0,146.5,112.5,375000.0,690000.0,400000.0
Penthouse,East,Swieqi,1.0,Finished,6,1.0,53.0,39.5,275000.0,499000.0,400000.0
Penthouse,East,San Gwann,3.0,Plan,12,2.0,110.0,24.0,350000.0,650000.0,400000.0
Apartment,North,Mgarr,3.0,Furnished,5,2.0,170.0,10.0,280000.0,478000.0,399000.0
Maisonette,South,Qrendi,3.0,Furnished,6,2.0,100.0,40.0,276000.0,425000.0,398500.0
Penthouse,Gozo,Gozo - Sannat,3.0,Plan,4,2.0,115.5,43.5,218000.0,442000.0,398000.0
Penthouse,Gozo,Gozo - Gharb,2.0,Unclassified,4,2.0,80.5,75.5,300000.0,400000.0,398000.0
Terraced House,Gozo,Gozo - Xewkija,4.0,Unclassified,5,4.0,218.0,91.0,298000.0,490000.0,398000.0
Apartment,East,Swieqi,3.0,Furnished,30,2.0,115.0,9.0,298000.0,600000.0,397500.0
House of Character,Gozo,Gozo - Fontana,3.0,Furnished,2,2.0,125.0,46.0,385000.0,410000.0,397500.0
Townhouse,South,Paola,3.0,Unclassified,12,2.0,156.5,10.0,292000.0,558000.0,397500.0
Penthouse,East,Sliema,2.0,Plan,8,2.0,81.0,84.5,350000.0,795000.0,397500.0
Apartment,East,Swieqi,4.0,Furnished,2,2.5,108.0,12.0,385000.0,409000.0,397000.0
Maisonette,East,San Gwann,3.0,Plan,4,2.0,107.5,36.0,310000.0,409500.0,396000.0
Townhouse,Gozo,Gozo - Ghasri,3.0,Shell,2,3.0,,,395000.0,395000.0,395000.0
Townhouse,South,Kalkara,3.0,Furnished,3,3.0,260.0,45.0,395000.0,680000.0,395000.0
Penthouse,Central,Santa Venera,3.0,Finished,5,2.0,122.0,28.0,360000.0,545000.0,395000.0
Apartment,East,Saint Julian's,3.0,Plan,26,2.0,136.0,24.0,250000.0,550000.0,395000.0
Maisonette,West,Zebbug,3.0,Unclassified,3,2.0,118.0,55.5,383000.0,420000.0,395000.0
Maisonette,North,Bugibba,2.0,Unclassified,3,1.0,60.0,43.0,395000.0,404000.0,395000.0
House of Character,South,Ghaxaq,3.0,Finished,3,4.0,135.0,5.0,325000.0,420000.0,395000.0
Maisonette,South,Senglea,3.0,Unclassified,2,2.0,,,393000.0,395000.0,394000.0
Penthouse,South,Paola,3.0,Plan,2,2.0,101.0,64.0,383000.0,403000.0,393000.0
Maisonette Duplex,Central,Santa Venera,3.0,Finished,2,2.0,,,393000.0,393000.0,393000.0
Penthouse,East,Sliema,2.0,Shell,4,2.0,84.5,33.0,390000.0,650000.0,393000.0
House of Character,Gozo,Gozo - Qala,3.0,Furnished,2,2.5,112.0,57.5,205000.0,575000.0,390000.0
Maisonette,Central,Balzan,3.0,Finished,9,2.0,152.0,30.0,385000.0,420000.0,390000.0
Maisonette,South,Tarxien,3.0,Unclassified,3,2.0,195.0,8.0,340000.0,400000.0,390000.0
Penthouse,West,Rabat,2.0,Finished,8,2.0,95.0,50.5,345000.0,475000.0,390000.0
Penthouse,South,Marsaxlokk,1.0,Plan,2,2.0,80.0,75.0,290000.0,490000.0,390000.0
Maisonette,West,Zebbug,3.0,Furnished,276,1.0,140.0,20.0,308500.0,390000.0,390000.0
Apartment,Central,Balzan,3.0,Shell,40,4.0,,,275000.0,473000.0,388000.0
Apartment,East,Valletta,2.0,Finished,4,2.0,65.0,18.0,350000.0,425000.0,387500.0
Townhouse,South,Zabbar,3.0,Furnished,5,2.0,163.0,15.0,255000.0,495000.0,387000.0
House of Character,Gozo,Gozo - Ghasri,3.0,Shell,4,3.0,197.0,92.0,378000.0,395000.0,386500.0
Apartment,Central,Balzan,3.0,Finished,47,2.0,130.0,15.0,295000.0,470000.0,385000.0
Maisonette Duplex,North,Mgarr,4.0,Finished,2,3.5,,,385000.0,385000.0,385000.0
Maisonette,East,Bahar Ic-Caghaq,2.0,Finished,2,3.0,,,375000.0,395000.0,385000.0
Maisonette Duplex,North,Mgarr,4.0,Unclassified,2,3.0,,,385000.0,385000.0,385000.0
Apartment,East,Swieqi,3.0,Finished,81,2.0,117.0,15.0,298000.0,560000.0,385000.0
House of Character,Gozo,Gozo - Nadur,3.0,Furnished,2,1.0,136.5,89.5,345000.0,425000.0,385000.0
Penthouse,South,Zurrieq,3.0,Finished,13,2.0,134.0,40.5,255000.0,600000.0,385000.0
Penthouse Duplex,East,Pieta,2.0,Finished,2,3.0,96.0,65.0,385000.0,385000.0,385000.0
Penthouse,West,Rabat,3.0,Unclassified,11,2.0,113.0,32.0,375000.0,691000.0,385000.0
Penthouse,Gozo,Gozo - Marsalforn,3.0,Finished,2,1.5,95.5,20.0,375000.0,395000.0,385000.0
House of Character,South,Ghaxaq,3.0,Furnished,7,2.0,147.0,59.0,299000.0,532000.0,385000.0
Penthouse,North,Bugibba,3.0,Finished,10,2.0,128.0,30.0,360000.0,460000.0,385000.0
Apartment,East,Pembroke,3.0,Unclassified,6,2.0,107.5,19.2,350000.0,420000.0,385000.0
Penthouse,West,Rabat,2.0,Furnished,4,2.0,76.0,69.0,380000.0,400000.0,384000.0
Townhouse,South,Cospicua,3.0,Furnished,18,2.0,118.0,16.5,175000.0,1100000.0,383500.0
Apartment,West,Dingli,3.0,Plan,15,2.0,136.0,23.0,271000.0,450000.0,383000.0
Maisonette,South,Senglea,3.0,Furnished,4,2.0,,,379000.0,430000.0,383000.0
Maisonette,West,Rabat,3.0,Finished,5,2.0,122.0,24.0,340000.0,404000.0,383000.0
Maisonette,South,Marsa,3.0,Plan,2,2.0,,,340000.0,425000.0,382500.0
Apartment,North,Xemxija,2.0,Furnished,4,1.5,94.5,21.0,225000.0,445000.0,382500.0
Townhouse,South,Zabbar,3.0,Finished,2,1.5,,,350000.0,415000.0,382500.0
Apartment,East,Bahar Ic-Caghaq,3.0,Plan,3,2.0,119.0,10.0,382000.0,382000.0,382000.0
Maisonette,East,Swieqi,3.0,Furnished,12,2.0,110.5,24.5,340000.0,425000.0,381500.0
Maisonette,Central,Mosta,3.0,Shell,7,2.0,135.5,60.0,310000.0,415000.0,380000.0
Maisonette,East,Msida,2.0,Unclassified,2,2.0,,,380000.0,380000.0,380000.0
Penthouse,Central,Naxxar,3.0,Finished,14,2.0,129.0,40.0,360000.0,650000.0,380000.0
House of Character,Gozo,Gozo - Victoria,3.0,Unclassified,2,2.0,87.8,23.5,380000.0,380000.0,380000.0
Terraced House,Gozo,Gozo - Xaghra,3.0,Plan,2,4.0,115.0,40.0,380000.0,380000.0,380000.0
Apartment,East,Swieqi,3.0,Plan,25,2.0,124.0,16.0,300000.0,550000.0,380000.0
Apartment,East,Gharghur,3.0,Finished,36,2.0,112.5,18.0,270000.0,555000.0,380000.0
Apartment,North,Burmarrad,3.0,Unclassified,16,2.0,145.0,21.0,250000.0,515000.0,380000.0
Apartment,South,Marsaskala,4.0,Furnished,2,2.5,160.0,10.0,340000.0,420000.0,380000.0
Townhouse,Central,Hamrun,4.0,Unclassified,2,3.0,200.0,68.0,335000.0,424000.0,379500.0
Maisonette Duplex,South,Kalkara,3.0,Unclassified,2,1.5,100.0,50.0,379000.0,379000.0,379000.0
Maisonette Duplex,South,Kalkara,3.0,Furnished,3,2.0,48.5,39.5,379000.0,379000.0,379000.0
Terraced House,Gozo,Gozo - Xewkija,4.0,Shell,4,4.0,210.5,88.0,298000.0,490000.0,378000.0
Penthouse,South,Tarxien,3.0,Finished,3,2.0,191.0,42.5,313000.0,500000.0,377500.0
Maisonette,North,Mgarr,4.0,Finished,4,2.5,164.5,48.5,373000.0,382000.0,377500.0
Penthouse,North,Bugibba,1.0,Furnished,2,1.5,50.0,9.0,220000.0,535000.0,377500.0
Maisonette,South,Mqabba,3.0,Finished,4,2.0,,,265000.0,425000.0,377500.0
Maisonette Duplex,Central,Qormi,3.0,Furnished,2,2.5,166.0,36.0,370000.0,385000.0,377500.0
Maisonette,East,Swieqi,3.0,Unclassified,4,2.0,115.0,28.0,365000.0,390000.0,377500.0
Penthouse,West,Zebbug,2.0,Furnished,2,2.0,91.0,104.0,330000.0,424000.0,377000.0
Maisonette,Central,Balzan,3.0,Plan,4,2.0,84.5,31.0,360000.0,410000.0,376500.0
Penthouse,South,Kalkara,2.0,Finished,8,1.5,84.5,64.0,266000.0,380000.0,375000.0
Penthouse,East,San Gwann,3.0,Finished,16,2.0,109.0,26.0,320000.0,750000.0,375000.0
Penthouse Duplex,South,Marsaxlokk,2.0,Finished,2,2.0,,,375000.0,375000.0,375000.0
Townhouse,Central,Birkirkara,4.0,Unclassified,3,3.0,,,375000.0,410000.0,375000.0
Penthouse,South,Marsaxlokk,2.0,Finished,8,1.0,100.0,37.0,320000.0,446500.0,375000.0
Townhouse,South,Cospicua,2.0,Furnished,11,2.0,112.0,7.0,178000.0,1100000.0,375000.0
Apartment,West,Dingli,3.0,Unclassified,10,2.0,109.0,11.0,335000.0,450000.0,375000.0
Apartment,East,Gharghur,3.0,Plan,25,2.0,125.0,26.0,266000.0,553000.0,375000.0
Penthouse,North,Qawra,2.0,Unclassified,4,2.0,85.0,34.5,299000.0,495000.0,375000.0
Penthouse,East,Pieta,1.0,Finished,8,1.0,57.0,40.0,205000.0,425000.0,375000.0
Townhouse,South,Cospicua,2.0,Finished,7,2.0,95.0,9.5,280000.0,445000.0,375000.0
Apartment,West,Siggiewi,3.0,Furnished,3,2.0,,,249000.0,485000.0,375000.0
Maisonette,Central,Birkirkara,3.0,Finished,9,2.0,116.0,33.0,271000.0,415000.0,375000.0
Apartment,East,Kappara,3.0,Unclassified,2,2.0,120.0,2.0,370000.0,380000.0,375000.0
Townhouse,South,Marsa,4.0,Furnished,3,2.0,149.5,67.0,340000.0,424000.0,375000.0
Maisonette,East,Saint Julian's,3.0,Plan,2,2.0,0.0,43.0,367000.0,382580.0,374790.0
Terraced House,South,Mqabba,3.0,Shell,2,2.0,110.0,2.0,369000.0,380000.0,374500.0
Maisonette,Central,Naxxar,3.0,Furnished,4,2.0,105.0,33.5,304000.0,425000.0,373500.0
Maisonette,Central,Santa Venera,3.0,Unclassified,2,1.0,,,372000.0,375000.0,373500.0
Maisonette,West,Dingli,3.0,Plan,2,2.0,130.0,13.0,320000.0,426000.0,373000.0
Apartment,East,Sliema,2.0,Plan,14,2.0,97.0,9.0,320000.0,480000.0,372500.0
Maisonette,East,Msida,3.0,Unclassified,2,2.5,130.0,50.0,345000.0,400000.0,372500.0
Apartment,Central,Balzan,3.0,Unclassified,26,2.0,135.0,19.5,260000.0,470000.0,372500.0
Penthouse,Central,Santa Venera,3.0,Unclassified,3,1.0,128.0,27.5,230000.0,383000.0,372000.0
Maisonette,South,Marsaxlokk,3.0,Furnished,3,2.0,121.5,28.0,372000.0,388000.0,372000.0
House of Character,South,Zejtun,2.0,Unclassified,5,2.0,115.0,15.5,300000.0,446000.0,372000.0
Maisonette,East,Swieqi,3.0,Finished,15,2.0,135.0,24.5,340000.0,410000.0,372000.0
Maisonette,Central,Naxxar,3.0,Plan,3,2.0,,,297500.0,380000.0,372000.0
Penthouse,East,Gzira,2.0,Furnished,9,1.0,63.0,32.0,235000.0,610000.0,372000.0
Apartment,North,Xemxija,3.0,Unclassified,9,2.0,106.0,17.0,270000.0,420000.0,372000.0
Apartment,South,Kalkara,2.0,Unclassified,5,1.5,52.0,17.0,239000.0,550000.0,372000.0
Penthouse,South,Zabbar,3.0,Finished,27,2.0,144.0,32.0,290000.0,498000.0,372000.0
Penthouse Duplex,Central,Hamrun,3.0,Finished,2,2.0,139.0,107.0,372000.0,372000.0,372000.0
Penthouse,Gozo,Gozo - Xaghra,3.0,Furnished,2,1.5,57.5,72.0,355000.0,385000.0,370000.0
Apartment,Central,Iklin,3.0,Plan,5,2.0,0.0,10.0,370000.0,410000.0,370000.0
Apartment,North,Mgarr,3.0,Plan,91,2.0,119.0,17.0,218000.0,574500.0,370000.0
House of Character,Central,Qormi,4.0,Furnished,5,2.0,475.0,55.0,295000.0,960000.0,370000.0
Penthouse,North,Qawra,2.0,Furnished,10,2.0,84.0,50.5,189000.0,475000.0,370000.0
Maisonette Duplex,Central,Hamrun,4.0,Finished,3,3.0,153.0,18.0,365000.0,425000.0,370000.0
Apartment,East,Pembroke,3.0,Plan,5,2.0,113.0,17.0,320000.0,495000.0,370000.0
Penthouse,Central,Mosta,2.0,Plan,34,2.0,93.0,37.0,263000.0,607000.0,370000.0
Penthouse,Central,Santa Venera,3.0,Furnished,5,2.0,106.0,36.5,320000.0,499000.0,370000.0
Apartment,East,Floriana,2.0,Furnished,6,1.0,65.0,6.0,266000.0,490000.0,370000.0
Apartment,Central,Naxxar,4.0,Furnished,3,2.0,145.0,21.0,370000.0,370000.0,370000.0
Apartment,Central,Naxxar,4.0,Unclassified,2,2.0,160.0,10.0,370000.0,370000.0,370000.0
Penthouse,West,Siggiewi,2.0,Finished,6,2.0,103.5,50.0,310000.0,478000.0,369500.0
Maisonette,Central,Birkirkara,2.0,Furnished,4,1.5,146.0,29.5,233000.0,400000.0,368750.0
Apartment,West,Dingli,3.0,Finished,6,2.0,116.0,13.0,300000.0,439500.0,368500.0
Apartment,North,Manikata,3.0,Unclassified,4,2.0,110.0,9.0,299000.0,435000.0,367500.0
Penthouse,East,Gzira,3.0,Furnished,6,2.0,110.0,12.0,318000.0,735000.0,367500.0
Penthouse Duplex,East,Gzira,3.0,Unclassified,4,2.5,136.5,39.5,310000.0,425000.0,367500.0
Penthouse,South,Zabbar,2.0,Furnished,2,1.5,,,280000.0,455000.0,367500.0
Apartment,East,Kappara,3.0,Furnished,3,2.0,126.0,4.0,350000.0,395000.0,365000.0
Penthouse,East,Kappara,2.0,Plan,4,2.0,99.0,44.0,365000.0,390000.0,365000.0
Maisonette,Central,Hamrun,4.0,Plan,274,1.0,,,365000.0,365000.0,365000.0
Apartment,East,Gharghur,3.0,Unclassified,5,2.0,120.0,13.0,291500.0,425000.0,365000.0
Maisonette,East,Saint Julian's,3.0,Unclassified,5,2.0,115.0,25.5,320000.0,430000.0,365000.0
Maisonette,East,Saint Julian's,2.0,Unclassified,3,2.0,,,280000.0,365000.0,365000.0
Apartment,North,Salina,3.0,Plan,2,2.0,,,365000.0,365000.0,365000.0
Apartment,East,Paceville,3.0,Furnished,2,2.0,,,360000.0,370000.0,365000.0
Apartment,East,Gharghur,2.0,Finished,11,2.0,87.0,19.0,265000.0,490000.0,365000.0
Penthouse,East,Swieqi,1.0,Unclassified,2,2.0,59.0,8.0,365000.0,365000.0,365000.0
Penthouse,Gozo,Gozo - Ghajnsielem,2.0,Finished,2,2.0,93.5,28.5,315000.0,415000.0,365000.0
Maisonette,South,Birgu,1.0,Plan,274,1.0,,,365000.0,365000.0,365000.0
Apartment,East,Pembroke,2.0,Plan,4,2.0,,,350000.0,430000.0,362625.0
Apartment,Gozo,Gozo - Qala,2.0,Plan,2,1.5,78.0,62.0,235000.0,490000.0,362500.0
Penthouse,East,Saint Julian's,2.0,Plan,2,1.5,,,350000.0,375000.0,362500.0
Penthouse,Central,Naxxar,3.0,Shell,4,2.0,118.0,28.0,360000.0,395000.0,362500.0
Apartment,Central,Iklin,3.0,Unclassified,4,2.0,115.0,21.0,240000.0,400000.0,362500.0
Apartment,Central,Lija,3.0,Furnished,4,2.0,139.0,8.0,299000.0,385000.0,362500.0
Townhouse,West,Zebbug,2.0,Unclassified,3,2.0,189.0,10.0,325000.0,370000.0,362000.0
Apartment,East,Pembroke,2.0,Finished,3,2.0,,,285000.0,475000.0,362000.0
Penthouse,North,Mgarr,2.0,Finished,8,2.0,97.5,28.0,339000.0,375000.0,362000.0
Apartment,South,Tarxien,3.0,Furnished,2,2.0,96.0,20.0,308000.0,415000.0,361500.0
Apartment,South,Paola,3.0,Furnished,2,1.5,150.0,3.0,350000.0,372000.0,361000.0
Penthouse,North,Bugibba,2.0,Unclassified,2,1.0,69.0,51.0,265000.0,457000.0,361000.0
Apartment,East,Gharghur,3.0,Furnished,6,2.0,59.0,20.5,320000.0,425000.0,361000.0
Townhouse,South,Marsaskala,2.0,Unclassified,2,2.0,150.0,10.0,350000.0,372000.0,361000.0
Penthouse,South,Xghajra,3.0,Shell,2,2.0,84.0,115.0,361000.0,361000.0,361000.0
House of Character,Central,Qormi,3.0,Unclassified,4,2.0,121.5,34.5,350000.0,455000.0,360500.0
Maisonette,Central,Swatar,3.0,Unclassified,4,2.0,128.0,22.0,340000.0,430000.0,360500.0
Townhouse,South,Tarxien,2.0,Furnished,4,2.0,225.0,160.0,320000.0,375000.0,360000.0
Penthouse Duplex,East,Pieta,3.0,Shell,2,3.0,120.0,54.0,360000.0,360000.0,360000.0
