Type,Province,Town,Bedrooms,Stage,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Villa,Central,Attard,4.0,Furnished,4,3.0,,,1063000.0,1650000.0,1260400.0
Villa Semi-Detached,East,Kappara,3.0,Shell,7,4.0,240.0,180.0,1050000.0,1300000.0,1250000.0
Farmhouse,South,Zejtun,3.0,Furnished,2,1.0,686.0,1823.0,1200000.0,1300000.0,1250000.0
Villa Semi-Detached,East,Kappara,4.0,Furnished,2,3.0,,,1150000.0,1300000.0,1225000.0
House of Character,Central,Balzan,4.0,Furnished,2,4.5,,,1200000.0,1200000.0,1200000.0
Terraced House,East,Maghtab,3.0,Finished,4,2.0,148.5,139.5,1200000.0,1200000.0,1200000.0
Terraced House,East,Bahar Ic-Caghaq,4.0,Finished,2,5.0,345.0,200.0,1200000.0,1200000.0,1200000.0
House of Character,West,Rabat,3.0,Finished,2,2.5,,,1200000.0,1200000.0,1200000.0
Terraced House,East,Swieqi,4.0,Furnished,2,2.5,,,1200000.0,1200000.0,1200000.0
Terraced House,East,Maghtab,3.0,Plan,2,4.0,,,1200000.0,1200000.0,1200000.0
House of Character,South,Ghaxaq,4.0,Furnished,4,2.5,251.5,205.0,1190000.0,1190000.0,1190000.0
Terraced House,North,Mgarr,4.0,Unclassified,2,3.5,294.5,225.5,1010000.0,1350000.0,1180000.0
Villa Semi-Detached,Central,Attard,4.0,Unclassified,2,2.0,,,1060000.0,1280000.0,1170000.0
Terraced House,Central,Mosta,5.0,Furnished,2,2.0,250.0,150.0,1100000.0,1150000.0,1125000.0
Farmhouse,South,Kalkara,3.0,Unclassified,2,3.0,143.0,2286.0,855000.0,1390000.0,1122500.0
Villa Semi-Detached,East,Kappara,4.0,Finished,2,3.0,,,1070000.0,1150000.0,1110000.0
Farmhouse,Gozo,Gozo - Gharb,4.0,Furnished,3,3.0,193.0,377.0,710000.0,1270000.0,1100000.0
Terraced House,Central,Mosta,5.0,Unclassified,2,2.0,345.0,130.0,1100000.0,1100000.0,1100000.0
Penthouse Duplex,North,Mellieha,3.0,Furnished,3,3.0,,,1080000.0,1100000.0,1100000.0
Villa Semi-Detached,Central,Attard,3.0,Unclassified,5,3.0,238.0,126.0,1025000.0,1135000.0,1100000.0
Villa,Central,Naxxar,3.0,Furnished,4,3.0,200.0,167.5,1070000.0,1100000.0,1100000.0
Townhouse,East,Sliema,7.0,Unclassified,2,5.5,,,1050000.0,1100000.0,1075000.0
Villa,East,Kappara,3.0,Unclassified,2,3.0,265.0,120.0,990000.0,1150000.0,1070000.0
Villa,East,Saint Julian's,3.0,Furnished,3,3.0,250.0,185.0,795000.0,2500000.0,1065000.0
House of Character,South,Zurrieq,5.0,Furnished,4,2.0,300.0,420.0,744000.0,1200000.0,1045000.0
Block of Apartment,East,Floriana,8.0,Unclassified,2,,98.0,77.5,890000.0,1165000.0,1027500.0
Terraced House,East,Valletta,4.0,Furnished,2,6.5,,,990000.0,1065000.0,1027500.0
House of Character,West,Rabat,4.0,Finished,2,,398.0,110.0,850000.0,1200000.0,1025000.0
Villa,East,Kappara,4.0,Finished,4,2.0,,,925000.0,1700000.0,1022500.0
Farmhouse,South,Zabbar,3.0,Finished,2,3.0,,,960000.0,1070000.0,1015000.0
Farmhouse,South,Xghajra,3.0,Plan,2,2.0,,,1010000.0,1010000.0,1010000.0
Plot,North,Mellieha,4.0,Plan,2,,,,1010000.0,1010000.0,1010000.0
Penthouse Duplex,North,Mellieha,3.0,Unclassified,2,3.0,198.5,140.0,910000.0,1100000.0,1005000.0
Villa,East,San Gwann,3.0,Furnished,2,3.0,264.5,181.5,1000000.0,1000000.0,1000000.0
Villa,East,San Gwann,3.0,Finished,4,3.0,240.0,,1000000.0,1060000.0,1000000.0
Townhouse,East,Sliema,5.0,Finished,3,3.0,220.0,30.0,998000.0,1050000.0,998000.0
Farmhouse,Gozo,Gozo - Zebbug,2.0,Furnished,2,2.0,100.0,130.0,995000.0,995000.0,995000.0
Townhouse,East,Saint Julian's,3.0,Furnished,2,2.0,397.0,75.0,875000.0,1100000.0,987500.0
House of Character,South,Zejtun,3.0,Unclassified,6,2.0,165.0,30.0,489000.0,1300000.0,987250.0
Terraced House,North,Mellieha,4.0,Finished,2,2.5,,,691000.0,1275000.0,983000.0
House of Character,East,Saint Julian's,4.0,Furnished,2,2.0,,,970000.0,995000.0,982500.0
Villa,Central,Mosta,3.0,Plan,2,4.0,260.0,120.0,980000.0,980000.0,980000.0
Penthouse Duplex,North,Mellieha,3.0,Plan,2,3.0,163.0,185.0,755000.0,1200000.0,977500.0
Villa,East,Kappara,4.0,Furnished,3,4.0,317.0,431.0,925000.0,1490000.0,975000.0
Farmhouse,South,Marsaxlokk,3.0,Furnished,2,2.0,255.5,2252.5,797000.0,1150000.0,973500.0
House of Character,West,Siggiewi,4.0,Finished,2,2.0,,,744000.0,1200000.0,972000.0
Townhouse,East,Pieta,4.0,Unclassified,2,4.5,350.0,150.0,830000.0,1100000.0,965000.0
Terraced House,East,Gharghur,3.0,Furnished,3,3.0,223.5,37.5,955000.0,957000.0,957000.0
Townhouse,South,Zejtun,5.0,Unclassified,3,2.0,462.5,62.5,371000.0,1059000.0,956000.0
Penthouse Duplex,North,Mellieha,3.0,Finished,4,2.5,160.0,102.5,700000.0,970000.0,950000.0
Penthouse Duplex,East,Pembroke,3.0,Finished,2,3.0,158.0,60.0,950000.0,950000.0,950000.0
Townhouse,East,Pieta,4.0,Shell,3,4.0,,,830000.0,950000.0,950000.0
House of Character,West,Siggiewi,4.0,Furnished,2,2.0,400.0,350.0,904000.0,990000.0,947000.0
Palazzo,South,Senglea,4.0,Finished,2,3.0,,,530000.0,1350000.0,940000.0
Apartment Duplex,East,Saint Julian's,3.0,Plan,2,2.5,,,905000.0,960000.0,932500.0
Terraced House,Central,Attard,4.0,Finished,2,3.0,,,798000.0,1060000.0,929000.0
House of Character,Central,Naxxar,3.0,Unclassified,3,3.0,190.0,116.0,925000.0,955000.0,925000.0
House of Character,South,Zurrieq,4.0,Finished,2,2.5,,,860000.0,969000.0,914500.0
Townhouse,East,Valletta,3.0,Furnished,5,2.0,155.0,23.5,685000.0,1080000.0,900000.0
House of Character,West,Zebbug,3.0,Unclassified,3,3.0,160.0,80.0,480000.0,980000.0,900000.0
Townhouse,Central,Attard,3.0,Finished,3,3.0,300.0,,895000.0,895000.0,895000.0
Townhouse,South,Senglea,4.0,Furnished,7,3.0,331.0,68.5,446500.0,935000.0,895000.0
House of Character,South,Zabbar,3.0,Finished,2,2.5,120.0,10.0,530000.0,1250000.0,890000.0
House of Character,East,Gharghur,3.0,Finished,5,3.0,237.5,85.0,840000.0,885000.0,885000.0
Townhouse,East,Saint Julian's,3.0,Unclassified,3,2.0,135.0,45.0,850000.0,1100000.0,875000.0
Plot,Central,Naxxar,3.0,Unclassified,2,1.0,,,850000.0,895000.0,872500.0
Terraced House,South,Zabbar,4.0,Shell,2,4.0,,,865000.0,865000.0,865000.0
House of Character,West,Zebbug,3.0,Furnished,15,3.0,210.0,110.0,385000.0,1250000.0,860000.0
House of Character,South,Kalkara,2.0,Furnished,2,1.0,,,800000.0,905000.0,852500.0
House of Character,Central,Birkirkara,4.0,Furnished,3,4.0,265.0,25.5,490000.0,850000.0,850000.0
Townhouse,East,Sliema,4.0,Unclassified,7,3.0,190.0,36.0,585000.0,860000.0,850000.0
Townhouse,East,Sliema,5.0,Unclassified,3,3.0,72.0,30.0,695000.0,998000.0,850000.0
