Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Sara Grech,W-01DRGT,Sliema,Apartment,,,,2,2,2,,,1600
False,Sara Grech,W-02AOA5,Sliema,Apartment,,,,3,2,3,,,1900
False,Sara Grech,W-01DMXD,Swieqi,Villa,,,,3,4,"1,000",,,6500
False,Sara Grech,W-02I9W6,Sliema,Apartment,,,,1,1,1,,,1000
False,Sara Grech,W-025QBI,Sliema,Apartment,,,,2,2,2,,,1400
False,Sara Grech,W-02CHED,Kappara,Villa,,,,4,3,225,,,2000
False,Sara Grech,W-023VA6,Sliema,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02I6Y9,Cospicua,Townhouse,,,,4,3,4,,,1200
False,Sara Grech,W-02FEWW,Floriana,Townhouse,,,,1,2,50,,,1350
False,Sara Grech,W-01DOIF,Valletta,Penthouse,,,,2,2,2,,,1900
False,Sara Grech,W-01DQ18,Floriana,Terraced House,,,,2,1,2,,,1100
False,Sara Grech,W-02CF42,Ibrag,Apartment,,,,3,2,3,,,2400
False,Sara Grech,W-02BTGV,Sliema,Penthouse,,,,2,2,2,,,1700
False,Sara Grech,W-02LK8H,Gzira,Apartment,,,,3,3,3,,,1500
False,Sara Grech,W-02E260,Sliema,Apartment,,,,2,2,2,,,2000
False,Sara Grech,W-02L9R2,Ta' Xbiex,Apartment,,,,3,2,3,,,1900
False,Sara Grech,W-02N755,Gharghur,House of Character,,,,7,7,950,,,5500
False,Sara Grech,W-02EOBY,Sliema,Apartment,,,,1,1,1,,,1600
False,Sara Grech,W-02GHJG,Swatar,Apartment,,,,3,2,3,,,1200
False,Sara Grech,W-021XRY,Gzira,Apartment,,,,3,2,3,,,1400
False,Sara Grech,W-024AF3,Gzira,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02C6YS,Gzira,Residential Garage,,,,,,,,,4650
False,Sara Grech,W-023XHH,Gzira,Apartment,,,,2,1,2,,,1800
False,Sara Grech,W-02AJGF,Gzira,Apartment,,,,2,1,2,,,1200
False,Sara Grech,W-02D73V,Gzira,Apartment,,,,2,2,2,,,1350
False,Sara Grech,W-02G0VY,Gzira,Penthouse,,,,2,2,2,,,1800
False,Sara Grech,W-02EMEU,Gzira,Apartment,,,,2,2,2,,,1200
False,Sara Grech,W-02I00Y,Zebbug,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-01DPSL,St.Pauls Bay,Apartment,,,,2,1,2,,,1300
False,Sara Grech,W-02L1OE,Gzira,Apartment,,,,2,2,2,,,1100
False,Sara Grech,W-02EVIQ,Sliema,Apartment,,,,2,2,2,,,1600
False,Sara Grech,W-01DWW0,Gzira,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02HYYK,Gzira,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-024HCK,Gzira,Apartment,,,,3,2,3,,,2000
False,Sara Grech,W-02I1P2,Gzira,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-02L6ME,Gzira,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-026LT1,Gzira,Penthouse,,,,3,2,3,,,2000
False,Sara Grech,W-020MFW,Msida,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02H3UH,Msida,Terraced House,,,,3,2,3,,,1300
False,Sara Grech,W-01DL22,Sliema,Apartment,,,,2,1,2,,,1100
False,Sara Grech,W-020RTA,Sliema,Apartment,,,,2,1,2,,,1350
False,Sara Grech,W-01DSQA,Sliema,Apartment,,,,2,1,2,,,1200
False,Sara Grech,W-0222T5,Sliema,Apartment,,,,2,2,2,,,1100
False,Sara Grech,W-01DTHB,Sliema,Apartment,,,,2,2,2,,,1300
False,Sara Grech,W-02ECEH,Sliema,Apartment,,,,2,1,2,,,1200
False,Sara Grech,W-02F16N,Msida,Penthouse,,,,3,2,3,,,1300
False,Sara Grech,W-02IE8Z,G'Mangia,Apartment,,,,3,1,3,,,1000
False,Sara Grech,W-02KO2A,Kalkara,Penthouse,,,,2,3,2,,,1500
False,Sara Grech,W-01U95V,Kalkara,Apartment,,,,2,2,2,,,1800
False,Sara Grech,W-028T22,Kalkara,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02FPL3,Kalkara,Townhouse,,,,2,2,2,,,1200
False,Sara Grech,W-02FAB3,Cospicua,Townhouse,,,,4,3,4,,,1500
False,Sara Grech,W-01QEQF,Sliema,Apartment,,,,2,1,2,,,1350
False,Sara Grech,W-028W2N,Sliema,Apartment,,,,3,2,3,,,1700
False,Sara Grech,W-01DNX9,Sliema,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02DMDH,Sliema,Apartment,,,,2,3,2,,,1200
False,Sara Grech,W-02LY36,Sliema,Apartment,,,,3,3,3,,,1200
False,Sara Grech,W-01DPKD,Sliema,Apartment,,,,3,2,3,,,1200
False,Sara Grech,W-02ENTY,Rabat,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02F0EZ,Rabat,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02HGM5,Gzira,Apartment,,,,2,2,2,,,1500
False,Sara Grech,W-02EQMU,Gzira,Penthouse,,,,2,2,2,,,1250
False,Sara Grech,W-020AR1,Ibrag,Villa,,,,4,3,4,,,4200
False,Sara Grech,W-02K042,Sliema,Apartment,,,,3,2,3,,,1900
