Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Sara Grech,W-024Z2X,Sliema,Apartment,Unclassified,2,1,,87,,315000
True,Sara Grech,W-028PR2,Sliema,Apartment,Unclassified,3,3,,295,,2220000
True,Sara Grech,W-02P1RY,Lija,Terraced House,Unclassified,3,2,145,,,795000
True,Sara Grech,W-02MITI,Pieta,Apartment,Furnished,3,2,,,,390000
True,Sara Grech,W-02M3UX,Sliema,Apartment,Finished,4,4,,293,,2185000
True,Sara Grech,W-01D93V,St.Julians,Townhouse,Finished,7,7,585,280,,5900000
True,Sara Grech,SP449532,Burmarrad,Penthouse,Finished,2,1,122,95,27,320000
True,Sara Grech,W-02ERTD,Vittoriosa,Townhouse,Unclassified,3,3,180,370,,595000
True,Sara Grech,W-02O821,Fgura,Private Maisonette,Unclassified,2,1,,160,,340000
True,Sara Grech,W-02N5ML,M'Scala,House of Character,Furnished,2,1,180,210,18,400000
True,Sara Grech,W-02P2PH,Swieqi,Penthouse,Finished,3,2,260,130,130,850000
True,Sara Grech,W-02OVAG,San Gwann,Apartment,Finished,3,3,182,159,23,355000
True,Sara Grech,W-02P0V6,Gharghur,Bungalow,Finished,3,3,200,180,,675000
True,Sara Grech,W-02IKI0,Pembroke,Penthouse,Unclassified,3,2,200,150,50,770000
True,Sara Grech,W-01ERSK,Madliena,Villa,Unclassified,3,3,301,450,,3450000
True,Sara Grech,W-02LBRH,Kappara,Villa,Furnished,4,4,376,450,,975000
True,Sara Grech,W-02OYBM,Mosta,Penthouse,Finished,2,2,,94,37,330000
True,Sara Grech,W-02O85J,Kappara,Villa,Unclassified,3,3,320,300,140,1150000
True,Sara Grech,SA449291,Lija,Apartment,Plan,3,2,135,125,10,320000
True,Sara Grech,SM449285,Lija,Maisonette,Plan,3,2,140,125,15,330000
True,Sara Grech,SA449524,Sliema,Apartment,Furnished,3,2,185,140,45,675000
True,Sara Grech,W-02IZ3S,Kalkara,House of Character,Unclassified,,,23400,300,23100,2600000
True,Sara Grech,ST447264,Senglea,Townhouse,Unclassified,3,3,45,190,,550000
True,Sara Grech,W-02JGTE,Gharghur,House of Character,Furnished,3,2,,430,20,740000
True,Sara Grech,W-02KXOI,Floriana,Townhouse,Unclassified,2,2,,,,900000
True,Sara Grech,W-02I33Q,Ibrag,Penthouse,Furnished,3,2,325,170,155,1250000
True,Sara Grech,ST449048,Zejtun,Townhouse,Unclassified,2,1,150,125,25,475000
True,Sara Grech,W-02NUGN,Sliema,Penthouse,Unclassified,3,2,186,158,28,795000
True,Sara Grech,SPZ449030,Zejtun,Palazzo,Furnished,6,2,2700,700,2000,7300000
True,Sara Grech,W-02OD6H,Mqabba,Terraced House,Shell,3,2,60,120,,380000
True,Sara Grech,SP449474,Senglea,Penthouse,Finished,2,2,65,101,30,560000
True,Sara Grech,SA449470,Senglea,Apartment,Finished,2,1,68,65,3,300000
True,Sara Grech,ST449137,Zejtun,Townhouse,Unclassified,3,2,140,225,25,635000
True,Sara Grech,ST449071,Luqa,Townhouse,Unclassified,4,2,100,,,445000
True,Sara Grech,W-02PXBQ,Mgarr,Plot,Unclassified,,,4457,,,375000
True,Sara Grech,W-02P443,Tarxien,Townhouse,Unclassified,3,2,130,200,30,325000
True,Sara Grech,W-02P7EU,Zebbug,House of Character,Furnished,3,4,95,190,,495000
True,Sara Grech,W-02P6Y6,B'Kara,Private Maisonette,Furnished,2,2,,146,,370000
True,Sara Grech,W-02OY0H,Qormi,Terraced House,Finished,4,3,230,420,65,955000
True,Sara Grech,W-02O19M,Rabat,Townhouse,Furnished,3,2,105,200,10,529000
True,Sara Grech,W-02OX2M,Mgarr,Maisonette,Finished,3,2,,110,,320000
True,Sara Grech,W-02OLRZ,Valletta,Apartment,Furnished,2,2,,230,,1100000
True,Sara Grech,W-02LOA3,Siggiewi,House of Character,Furnished,3,1,480,300,250,985000
True,Sara Grech,W-02NUCC,Ta' Xbiex,Apartment,Finished,3,3,167,130,37,995000
True,Sara Grech,W-02QA21,Madliena,Apartment,Plan,3,3,,175,25,825000
True,Sara Grech,W-02K9R1,Mellieha,Bungalow,Unclassified,3,9,1500,900,880,2900000
True,Sara Grech,W-02GB74,Gzira,Penthouse,Finished,3,2,,106,35,320000
True,Sara Grech,W-01DUES,Rabat,House of Character,Furnished,3,3,160,175,50,955000
True,Sara Grech,W-02E86L,Ibrag,Penthouse,Finished,3,3,,134,110,695000
True,Sara Grech,SHC446061,Zejtun,House of Character,Furnished,1,2,,119,16,345000
True,Sara Grech,W-02EGXS,St.Julians,Townhouse,Furnished,3,2,,397,75,1100000
True,Sara Grech,ST448999,Qormi,Townhouse,Furnished,2,2,173,335,15,1010000
True,Sara Grech,W-02OY0Y,Attard,Townhouse,Finished,3,3,124,300,,895000
True,Sara Grech,W-02NGEK,Iklin,House of Character,Unclassified,3,3,4300,450,4000,3600000
True,Sara Grech,SP448704,St.Julians,Penthouse,Finished,3,2,80,121,45,550000
True,Sara Grech,W-02NEYR,Ibrag,Apartment,Finished,3,2,,124,94,795000
True,Sara Grech,SM448621,Kalkara,Maisonette,Furnished,3,2,130,90,40,375000
True,Sara Grech,SP448548,Mosta,Penthouse,Plan,3,2,147,118,29,440000
True,Sara Grech,W-02IPO1,Floriana,Commercial,Unclassified,,,100,,,750000
True,Sara Grech,ST446487,B'Bugia,Townhouse,Unclassified,3,1,120,95,25,795000
True,Sara Grech,W-02NU08,B'Bugia,House of Character,Finished,4,3,5400,400,2000,2250000
True,Sara Grech,SA446480,Sliema,Apartment,Finished,3,2,126,107,19,320000
True,Sara Grech,W-01CI9I,Paola,Townhouse,Unclassified,4,1,167,13,,470000
True,Sara Grech,W-02E6LA,Zejtun,Site,Unclassified,,,500,,,885000
True,Sara Grech,W-02GEIF,Zejtun,Palazzo,Finished,4,6,242,550,50,2900000
True,Sara Grech,W-01CV3T,Fgura,Terraced House,Furnished,3,2,146,246,20,620000
True,Sara Grech,W-0273DE,St.Julians,Penthouse,Plan,3,2,,,,525000
True,Sara Grech,W-02HKVM,G'Mangia,Penthouse,Finished,2,2,,131,30,620000
True,Sara Grech,W-02Q4J2,Mgarr,Terraced House,Furnished,5,2,200,280,50,690000
True,Sara Grech,SP449309,San Gwann,Penthouse,Unclassified,2,2,105,80,25,370000
True,Sara Grech,W-02OY08,Bahar Ic Caghaq,Penthouse,Furnished,2,2,,110,,330000
True,Sara Grech,W-02K3QZ,Madliena,Villa,Furnished,5,5,1400,1200,1200,8500000
True,Sara Grech,SHC448938,Naxxar,House of Character,Furnished,2,3,42,110,15,450000
True,Sara Grech,SA449106,Lija,Apartment,Finished,3,2,140,120,20,420000
True,Sara Grech,SA448357,Burmarrad,Apartment,Unclassified,3,4,291,211,80,645000
True,Sara Grech,SA448349,Burmarrad,Apartment,Finished,3,2,167,145,22,370000
True,Sara Grech,SM448302,Burmarrad,Maisonette,Finished,3,2,153,144,9,360000
True,Sara Grech,SA449094,Lija,Apartment,Finished,3,2,,120,20,400000
True,Sara Grech,SM446763,Xemxija,Maisonette,Furnished,2,1,70,60,10,270000
True,Sara Grech,W-02Q234,Sliema,Townhouse,Furnished,3,3,175,290,,1250000
True,Sara Grech,W-02OVZW,Attard,Villa,Unclassified,3,2,260,270,,955000
True,Sara Grech,W-02Q5I3,Swieqi,Maisonette,Furnished,3,4,,200,60,990000
True,Sara Grech,W-02N70T,Qrendi,House of Character,Furnished,3,2,2988,161,2827,1590000
True,Sara Grech,W-02PH50,M'Scala,Apartment,Unclassified,3,2,154,132,22,799000
True,Sara Grech,SP445960,Mgarr,Apartment,Finished,2,2,101,82,19,380000
