Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Ben Estate,BLAPT119621,Naxxar,Apartment,Unclassified,1,1,1.00,1.00,1.00,700
False,Ben Estate,BLAPT119619,Gzira,Apartment,Unclassified,1,1,,,,650
False,Ben Estate,BLMSN119615,Mosta,Maisonette,Unclassified,3,2,165.00,110.00,55.00,1200
False,Ben Estate,BLMSN119603,Mosta,Maisonette,Unclassified,3,2,160.00,110.00,50.00,1200
False,Ben Estate,BLAPT119601,Blata L'Bajda,Apartment,Unclassified,3,2,87.00,86.00,1.00,900
False,Ben Estate,BLAPT119591,Blata L'Bajda,Apartment,Unclassified,3,2,85.60,80.00,5.60,900
False,Ben Estate,BLAPT119588,Blata L'Bajda,Apartment,Unclassified,3,2,90.00,89.00,1.00,900
False,Ben Estate,BLPTH119580,Fgura,Penthouse,Unclassified,2,1,,,,650
False,Ben Estate,BSAPT119570,Mellieha,Apartment,Unclassified,3,2,120.00,108.00,22.00,276000
False,Ben Estate,BLAPT119568,Mensija,Apartment,Unclassified,1,1,55.00,50.00,,900
False,Ben Estate,BLAPT119558,Naxxar,Apartment,Unclassified,2,2,1.00,1.00,1.00,850
False,Ben Estate,BLPTH119526,Qawra,Penthouse,Unclassified,3,2,1.00,1.00,1.00,1300
False,Ben Estate,BLAPT119522,Ta' Xbiex,Apartment,Unclassified,3,3,1.00,,,1300
False,Ben Estate,BLAPT119520,San Gwann,Apartment,Unclassified,2,2,1.00,1.00,1.00,950
False,Ben Estate,BLAPT119518,Msida,Apartment,Unclassified,4,2,1.00,,,1275
False,Ben Estate,BLAPT119516,L'Iklin,Apartment,Unclassified,2,2,,,,950
False,Ben Estate,BLAPT119503,Floriana,Apartment,Unclassified,2,1,80.00,70.00,10.00,700
False,Ben Estate,BLAPT119494,Fgura,Apartment,Unclassified,3,2,,,,800
False,Ben Estate,BLAPT119488,L'Iklin,Apartment,Unclassified,3,2,,,,1200
False,Ben Estate,BLC4C119486,San Gwann,Commercial Class 4,Unclassified,,1,,57.49,9.51,1800
False,Ben Estate,BLAPT119482,Marsascala,Apartment,Unclassified,3,2,1.00,,,900
False,Ben Estate,BLAPT119478,L'Iklin,Apartment,Unclassified,2,2,,,,900
False,Ben Estate,BLEGFM119476,Birzebbuga,Elevated Ground Floor Maisonette,Unclassified,1,1,1.00,,,660
False,Ben Estate,BLAPT119474,Birzebbuga,Apartment,Unclassified,1,1,1.00,,,650
False,Ben Estate,BLAPT119418,San Gwann,Apartment,Unclassified,3,2,,,,1100
False,Ben Estate,BLDPP119411,Gozo - Xlendi,Duplex Penthouse,Unclassified,2,2,100.00,170.00,30.00,850
False,Ben Estate,BLAPT119409,Gozo - Xlendi,Apartment,Unclassified,3,1,120.00,100.00,20.00,550
False,Ben Estate,BLSBG119333,Ibragg,Semi Basement Garage,Unclassified,,,75.00,75.00,1.00,350
False,Ben Estate,BLTEH119327,Qrendi,Terraced House,Unclassified,4,2,1.00,,,1500
False,Ben Estate,BLAPT119309,Qawra,Apartment,Unclassified,2,2,90.00,85.00,5.00,680
False,Ben Estate,BLAPT119303,Swieqi,Apartment,Unclassified,3,2,100.00,100.00,,800
False,Ben Estate,BLAPT119291,Zebbug,Apartment,Unclassified,3,2,1.00,1.00,1.00,700
False,Ben Estate,BLMSN119283,Xemxija,Maisonette,Unclassified,1,1,1.00,,,450
False,Ben Estate,BLAPT119231,Mosta,Apartment,Unclassified,3,2,,,,1000
False,Ben Estate,BLAPT119227,Qawra,Apartment,Unclassified,1,1,1.00,1.00,1.00,600
False,Ben Estate,BLPTH119211,Naxxar,Penthouse,Unclassified,2,2,110.00,70.00,40.00,850
False,Ben Estate,BLAPT119209,L'Iklin,Apartment,Unclassified,3,2,,,,1200
False,Ben Estate,BLAPT119207,L'Iklin,Apartment,Unclassified,2,2,,,,950
False,Ben Estate,BLAPT119205,L'Iklin,Apartment,Unclassified,3,2,,,,1250
False,Ben Estate,BLAPT119203,Qawra,Apartment,Unclassified,2,1,85.00,75.00,10.00,750
False,Ben Estate,BLSDV119201,Swieqi,Semi Detached Villa,Unclassified,8,9,1.00,1.00,1.00,5000
False,Ben Estate,BLAPT119197,St. Pauls Bay,Apartment,Unclassified,3,2,1.00,1.00,1.00,1125
False,Ben Estate,BLAPT119195,St. Julians,Apartment,Unclassified,3,2,,,,1200
False,Ben Estate,BLAPT119193,Naxxar,Apartment,Unclassified,3,2,110.00,107.00,3.00,800
False,Ben Estate,BLAPT119189,Mellieha,Apartment,Unclassified,2,2,90.00,,,850
False,Ben Estate,BLAPT119185,Gzira,Apartment,Unclassified,2,2,1.00,1.00,1.00,900
False,Ben Estate,BLAPT119181,Qawra,Apartment,Unclassified,2,1,,,,650
False,Ben Estate,BLPTH119159,Marsascala,Penthouse,Unclassified,1,1,,,,800
False,Ben Estate,BLAPT119117,Marsascala,Apartment,Unclassified,1,1,,,,600
False,Ben Estate,BLAPT119105,San Gwann,Apartment,Unclassified,3,2,,,,950
False,Ben Estate,BLCOMM119101,Mosta,Commercial,Unclassified,,1,200.00,50.00,10.00,1400
False,Ben Estate,BLAPT119099,Mellieha,Apartment,Unclassified,2,1,87.00,72.00,15.00,700
False,Ben Estate,BLTEH119093,Swatar,Terraced House,Unclassified,3,2,,,,950
False,Ben Estate,BLAPT119091,Sliema,Apartment,Unclassified,2,1,,,,900
